Country.Name,Country.Code,X2015,gdp,sani,pre,pri,sec,ter,smo.Daily.tobacco,smo.Daily.cigarettes,ob,al,co2,hiv
Afghanistan,AFG,63.29819512,19469022208,31.9,74.26561966,111.8770828,55.64440918,56.21012268,18.4,15.264,23,1,0.299444991,0.1
Angola,AGO,61.18934146,89633156470,51.6,68.32976978,105.3284195,79.80781402,9.308019638,18.4,15.264,27.5,7.6,1.291328315,1.9
Albania,ALB,78.20314634,11926892453,93.2,88.60224152,113.6997986,95.76548767,58.10995102,23.8,21.3,57.7,6.6,1.978763312,0.1
Argentina,ARG,76.29302439,5.46E+11,96.4,60.21816806,103.7753015,88.24808394,52.54842796,18.1,17.3,62.7,7.6,4.746797455,0.4
Armenia,ARM,74.20619512,10547331235,89.5,52.39516068,98.4666214,88.50235748,44.30950165,24.7,22.7,54.4,5.5,1.90275891,0.2
Australia,AUS,82.45121951,1.20E+12,100,124.9199829,102.2078171,98.7148832,50.6771672,13.7,11,64.5,12.6,15.39859985,0.1
Burundi,BDI,57.06934146,3007029030,48,12.63022995,123.7817917,42.48006821,49.99454484,18.4,15.264,22.2,9.8,0.044485376,1.1
Benin,BEN,60.58468293,8583031398,19.7,23.90070915,128.9833527,56.81195831,48.19190545,7.4,4.6,29.5,2.2,0.614213852,1
Burkina Faso,BFA,59.84465854,12115155932,19.7,4.142320156,87.99263,33.66666031,35.45815311,16.2,7.7,23.2,7.4,0.162018806,0.8
Bangladesh,BGD,72.22160976,2.21E+11,60.6,31.22426987,120.4330597,63.5245285,62.88715387,19.6,12.5,20,0.2,0.459141965,0.1
Bulgaria,BGR,74.46585366,52395164027,86,82.91227722,97.2181778,99.01634979,73.93419647,30,27.1,61.7,11.3,5.871615869,0.1
Bahrain,BHR,76.86519512,31858510638,99.2,55.85834122,101.1711731,102.1308975,43.26322937,27.1,21.2,65.8,2.4,23.44975483,0.1
Belarus,BLR,73.62439024,47433442293,94.3,103.2291107,101.3416214,107.1194229,87.94074249,22.6,21.1,59.4,17.1,6.701957705,0.4
Belize,BLZ,70.31097561,1765256400,90.5,49.67567062,113.1385117,80.79221344,23.29034996,18.4,15.264,54.8,8.3,1.407601494,1.8
Bolivia,BOL,68.74980488,33806395514,50.3,70.73162079,97.13803864,86.40506744,40.4330336,18.4,15.264,56.1,5.8,1.932419499,0.3
Brazil,BRA,75.19912195,1.80E+12,82.8,92.17723846,115.3407898,99.65097046,50.60491943,12.7,11.5,56.5,9.1,2.594388285,0.6
Barbados,BRB,75.63790244,4587550000,96.2,56.44548978,90.79858704,86.48664383,46.10380445,5,3.8,52.4,6.5,4.490177673,1.3
Botswana,BWA,65.75109756,15274861068,63.4,55.75157328,104.8765121,75.69854508,27.53108978,18.4,15.264,43.4,7.7,3.243287637,21.9
Central African Republic,CAF,51.37785366,1756124677,21.8,71.86063338,102.2030655,82.89744492,48.97453721,18.4,15.264,26.2,3.8,0.066593111,4
Chile,CHL,79.16068293,2.47E+11,99.1,87.00312042,101.6437302,100.6461868,88.5772934,27.5,23,63.1,9.3,4.687376624,0.5
Cote d'Ivoire,CIV,53.0782439,36164644633,22.5,7.158979893,93.63452148,43.86772919,9.155269623,18.4,15.264,31.6,6.5,0.490206046,2.7
Cameroon,CMR,57.5575122,24204448567,45.8,37.83330154,117.1338577,58.07812881,17.47789955,13.6,9.8,33.6,7.7,0.314928068,3.8
"Congo, Dem. Rep.",COD,59.17321951,34998638634,28.7,47.5011132,102.2968964,93.6382694,44.74732399,18.4,15.264,25.3,3.4,0.063369191,0.7
"Congo, Rep.",COG,64.09073171,7833509443,15,72.9825801,101.1628375,101.7992922,70.65616226,13,9.8,30.9,3.9,0.635369293,3.1
Colombia,COL,74.15619512,2.82E+11,81.1,84.49167633,113.5627213,98.09185791,55.65726852,8.1,5.7,59,6.6,1.759537174,0.4
Comoros,COM,63.46068293,616654490.5,35.8,57.62841759,104.4928186,83.49025228,58.08582458,12.5,6.3,27.1,0.2,0.202814119,0.1
Cabo Verde,CPV,72.43517073,1617467436,72.2,73.65196228,109.8879013,92.89842987,21.70782089,9.7,6.1,34.8,7.2,0.933403237,0.8
Costa Rica,CRI,79.60890244,57435507212,94.5,52.37208939,109.8176575,123.0857315,53.62966156,8.3,6.9,61.6,5.1,1.630951062,0.4
