Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94826047,27.895574,26.23084664,25.91583295,24.67052887,24.5058352,13.15554169,8.351294252,8.408362638,,
Afghanistan,AFG,0.03850634,0.039002334,0.048715548,0.0518296,0.039377828,0.052948215,0.063728472,0.085417506,0.154101422,0.241722682,0.293836994,0.412016938,0.350370581,0.315601773,0.299444991,,
Angola,AGO,0.580352661,0.573047493,0.720768849,0.497975073,0.996165478,0.979740026,1.098883898,1.197843982,1.181526759,1.232494515,1.243405585,1.252789255,1.330843018,1.254617218,1.291328315,,
Albania,ALB,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312,,
Andorra,AND,8.019284294,7.786950001,7.590615141,7.315760706,7.358624941,7.299871936,6.746218716,6.519465912,6.427886622,6.121652341,6.122594702,5.867129945,5.916596911,5.900752587,5.832169951,,
Arab World,ARB,3.684441272,3.590302965,3.588035581,3.779889011,4.051465169,4.168486256,4.268239866,4.100226273,4.390401434,4.542151451,4.615758201,4.537755236,4.813630727,4.650474168,4.860233832,,
United Arab Emirates,ARE,35.67825923,30.49115342,24.15124891,28.55255307,27.70120802,25.36237265,23.63108943,22.43980121,22.82394719,21.90855608,19.44369027,19.07648878,19.81768422,18.95416379,23.30202251,,
Argentina,ARG,3.835573665,3.568599866,3.291547735,3.52558427,4.06905838,4.141236814,4.434821452,4.382668884,4.682912395,4.410889894,4.558499612,4.600290699,4.569383676,4.462903755,4.746797455,,
Armenia,ARM,1.128918604,1.161167684,1.003201493,1.136138307,1.214751524,1.460030477,1.481177962,1.726570171,1.911537642,1.509411878,1.465621895,1.710070765,1.976060074,1.899711734,1.90275891,,
Antigua and Barbuda,ATG,4.123971095,4.09566526,4.293313704,4.620874526,4.778147909,4.806998084,4.913644367,5.136472571,5.194500314,5.446757355,5.539567509,5.363407474,5.418446532,5.360453467,5.377648546,,
Australia,AUS,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07681906,16.10333614,15.39859985,,
Austria,AUT,7.774259739,8.192769898,8.299115796,8.889562334,8.858363703,9.020169598,8.727297872,8.406418936,8.295095978,7.518751102,8.071131802,7.748134305,7.387077163,7.369137466,6.87371322,,
Azerbaijan,AZE,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.646179877,3.82487717,3.785068836,3.931560609,,
Burundi,BDI,0.042395011,0.031323575,0.031548442,0.023205146,0.027569697,0.020747407,0.024365963,0.023555045,0.023219419,0.022462399,0.024260032,0.02676196,0.030296973,0.03017577,0.044485376,,
Belgium,BEL,11.2296677,11.13371551,10.3854951,10.88211417,10.66129022,10.35539299,10.151039,9.744777191,9.751984809,9.249615685,10.17146522,9.046560547,8.546478214,8.671352487,8.328159898,,
Benin,BEN,0.232860969,0.256497596,0.285000234,0.313037269,0.323642156,0.299985405,0.471267009,0.531738987,0.507237393,0.521063185,0.553283259,0.559693354,0.562347006,0.580960914,0.614213852,,
Burkina Faso,BFA,0.089716851,0.083504269,0.081733493,0.085194017,0.084705971,0.083875344,0.098375847,0.115526282,0.130556622,0.127633338,0.125717252,0.137496219,0.158663009,0.179132409,0.162018806,,
Bangladesh,BGD,0.211802225,0.242020016,0.246756218,0.25660216,0.266823041,0.275246594,0.299529173,0.301630726,0.332727819,0.357158767,0.393936699,0.412011186,0.433487963,0.442400828,0.459141965,,
Bulgaria,BGR,5.328034342,5.800066474,5.695266947,6.084370085,6.064891808,6.256282044,6.445333272,6.925435282,6.772087541,5.731193724,5.964900206,6.71538056,6.119456526,5.450695963,5.871615869,,
