Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angola,AGO,1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9
Albania,ALB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Arab World,ARB,0.132549471,0.13386927,0.137193851,0.133852732,0.144396228,0.143829698,0.142145047,0.141903332,0.138001778,0.136679669,0.136579074,0.136160785,0.135249569,0.131710132,0.130515262,0.130840869,0.130893922
Argentina,ARG,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Armenia,ARM,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Australia,AUS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Azerbaijan,AZE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Burundi,BDI,3.4,3.2,3,2.8,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.1,1.1
Benin,BEN,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,1,1,1
Burkina Faso,BFA,2.5,2.3,2.1,1.8,1.7,1.5,1.4,1.3,1.2,1.1,1.1,1,1,0.9,0.9,0.9,0.8
Bangladesh,BGD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bulgaria,BGR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bahrain,BHR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Bahamas, The",BHS,2.9,3,3,3,3,2.9,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.2,3.3
Belarus,BLR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4
Belize,BLZ,0.6,0.8,1,1.2,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8
Bolivia,BOL,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Brazil,BRA,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
Barbados,BRB,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3
Botswana,BWA,26.9,26.8,26.3,25.7,25.1,24.6,24.1,23.7,23.4,23.2,23,22.9,22.7,22.6,22.4,22.2,21.9
Central African Republic,CAF,9.3,8.7,8.1,7.4,6.9,6.3,5.9,5.5,5.2,4.9,4.8,4.6,4.4,4.3,4.2,4.1,4
Chile,CHL,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
Cote d'Ivoire,CIV,6.3,6.1,5.9,5.6,5.3,5,4.7,4.4,4.2,4,3.8,3.6,3.4,3.2,3,2.8,2.7
Cameroon,CMR,4.6,4.8,5,5.1,5.1,5.1,5,4.9,4.8,4.7,4.6,4.5,4.3,4.2,4.1,3.9,3.8
"Congo, Dem. Rep.",COD,2.2,2.1,2,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.8,0.7
"Congo, Rep.",COG,4.3,4.1,3.8,3.6,3.4,3.3,3.2,3.1,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1
Colombia,COL,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Comoros,COM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cabo Verde,CPV,1.1,1.1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Costa Rica,CRI,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Caribbean small states,CSS,1.585732778,1.612992141,1.596665437,1.64171627,1.625316606,1.630418279,1.628335437,1.631375688,1.606613237,1.627578972,1.58677401,1.593666397,1.617252042,1.619349915,1.621139796,1.642949371,1.649911356
Cuba,CUB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4
Czech Republic,CZE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Djibouti,DJI,2.7,2.8,2.8,2.8,2.7,2.5,2.3,2.2,2,1.9,1.8,1.6,1.6,1.5,1.4,1.4,1.3
Dominican Republic,DOM,2.3,2.3,2.2,2,1.9,1.8,1.7,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1,1
Algeria,DZA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Early-demographic dividend,EAR,0.881173878,0.888990702,0.89043027,0.893906247,0.88800349,0.877042979,0.832809327,0.823418779,0.816509696,0.827742486,0.822154109,0.816575499,0.81640533,0.815347861,0.812990806,0.811766602,0.810934202
Ecuador,ECU,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"Egypt, Arab Rep.",EGY,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Eritrea,ERI,1.8,1.8,1.7,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6
Spain,ESP,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Ethiopia,ETH,3.5,3.3,3,2.7,2.5,2.2,2,1.8,1.6,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1.1
Fragile and conflict affected situations,FCS,3.16254134,3.145471509,3.128556732,3.071970117,3.012239229,2.937437485,2.866280868,2.799296157,2.733914912,2.67138144,2.609017702,2.519030624,2.457859241,2.373334995,2.295134585,2.231187964,2.162651859
Fiji,FJI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
France,FRA,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Gabon,GAB,5.9,6.1,6.1,6,5.8,5.7,5.4,5.2,5,4.7,4.5,4.3,4.1,4,3.9,3.7,3.6
Georgia,GEO,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5
Ghana,GHA,4.2,4,3.7,3.5,3.2,2.9,2.7,2.4,2.2,2.1,1.9,1.8,1.8,1.7,1.7,1.6,1.6
Guinea,GIN,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5
"Gambia, The",GMB,1.4,1.6,1.8,1.9,2,2.1,2.2,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.8,1.7
Guinea-Bissau,GNB,2.7,3.2,3.6,4,4.4,4.6,4.7,4.7,4.7,4.5,4.4,4.2,3.9,3.7,3.5,3.3,3.1
Equatorial Guinea,GNQ,3.5,3.7,4,4.2,4.5,4.8,5,5.3,5.5,5.7,5.8,5.9,6,6.1,6.1,6.2,6.2
Guatemala,GTM,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Guyana,GUY,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6
Honduras,HND,1.1,1,1,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4
Heavily indebted poor countries (HIPC),HPC,4.13074141,4.052035121,3.928769835,3.78725901,3.661411843,3.506696271,3.377593592,3.256784058,3.155965244,3.071803602,2.989492444,2.904174745,2.831296937,2.749879818,2.677808176,2.607609952,2.539046262
Croatia,HRV,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Haiti,HTI,2.9,2.8,2.6,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1
IDA & IBRD total,IBT,1.308119399,1.321978291,1.313962851,1.305756504,1.289469512,1.271022314,1.231017156,1.213731733,1.200461599,1.200327707,1.190395229,1.179645018,1.173312782,1.169537162,1.165493077,1.155827519,1.146410903
IDA total,IDA,3.013161783,2.962743381,2.887880224,2.797373054,2.703659051,2.600031829,2.511717322,2.433168937,2.366433273,2.315483313,2.26095154,2.205217977,2.160265975,2.111154596,2.076597545,2.033452937,1.986637884
IDA blend,IDB,3.547419633,3.494338516,3.405326955,3.309563286,3.183953501,3.06281821,2.953205401,2.862713233,2.774665197,2.711935569,2.643091398,2.584788733,2.524406039,2.466688418,2.444970997,2.38432577,2.319760253
Indonesia,IDN,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
IDA only,IDX,2.759430412,2.710089876,2.641604483,2.553166691,2.47430027,2.378801804,2.300377877,2.227423304,2.170887582,2.125600249,2.077942094,2.023820003,1.986547762,1.941822505,1.901472739,1.866995303,1.828972013
