Country name,Country code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFGHANISTAN,AFG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ANGOLA,AGO,1.6,1.8,1.9,1.9,2,2.1,2.1,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.4
ALBANIA,ALB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
ARGENTINA,ARG,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
ARMENIA,ARM,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AUSTRALIA,AUS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,
AUSTRIA,AUT,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,,,
AZERBAIJAN,AZE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BURUNDI,BDI,3.3,3.2,3.1,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.4,1.3,1.2,1.1
BELGIUM,BEL,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,,,
BENIN,BEN,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1
BURKINA FASO,BFA,2.4,2.2,1.9,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.1,1,1,1,0.9
BANGLADESH,BGD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BULGARIA,BGR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
BAHAMAS,BHS,3.5,3.5,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.2,
BELARUS,BLR,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
BELIZE,BLZ,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2
BOLIVIA,BOL,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
BRAZIL,BRA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,,0.6,
BARBADOS,BRB,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,
BHUTAN,BTN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
BOTSWANA,BWA,29,29.1,28.8,28.3,27.8,27.5,27.1,26.8,26.5,26.2,26,25.8,25.6,25.4,25.2
CENTRAL AFRICAN REPUBLIC,CAF,9.6,9.2,8.7,8.1,7.6,7,6.5,6.1,5.7,5.4,5.2,4.9,4.7,4.5,4.3
CANADA,CAN,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,
SWITZERLAND,CHE,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
CHILE,CHL,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CHINA,CHN,,,,,,,,,,,,0.1,,,
