Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,95.90303802,97.58338928,98.46939087,99.62290192,98.78090668,100.4272003,109.0211792,107.2901306,101.6320496,100.8945236,104.4626312,102.4300385,107.1188965,106.2100067,107.2900772,,
Afghanistan,AFG,,,,0.75940001,,,,,,,,,,,,,
Angola,AGO,,,,,,,,142.5362854,104.9656525,98.68408966,92.09725189,79.24822998,,,,,
Albania,ALB,44.32157135,45.43346024,45.0683403,48.85268021,50.55550003,52.65391922,55.8291893,57.33209991,61.74755859,65.65630341,70.70559692,77.11076355,84.83940887,88.46157837,88.55834961,88.60224152,
Arab World,ARB,14.62345982,14.61112976,14.89665985,15.35645962,15.87154961,16.61141968,18.55829048,18.52342033,20.11754036,23.09775925,23.55831909,23.61449051,24.05599022,23.46468925,25.50214958,,
United Arab Emirates,ARE,63.77507019,62.93275833,68.91100311,75.78330231,79.94670105,82.14321136,82.11943054,88.01702881,,87.59307861,86.75498199,85.37493896,82.1028595,83.90519714,91.95767212,83.67263031,
Argentina,ARG,59.56681061,60.35150909,60.91012955,61.11022949,62.53842926,63.72090912,63.34685898,63.99168015,65.66664886,66.98548889,67.76325226,67.84857178,69.75669098,71.66208649,72.75393677,,
Armenia,ARM,26.47075081,24.99250031,25.70664024,27.96224976,30.54911041,30.85840034,33.18492889,32.360569,33.11928177,34.14374161,,47.71981812,52.13402939,48.63420105,49.42393112,52.39516068,
Antigua and Barbuda,ATG,56.98363113,,,,,,,75.35761261,77.5,,84.32360077,82.67208862,88.63092804,,75.21543884,95.64315033,
Australia,AUS,,103.073761,100.9383698,82.1421814,83.68805695,86.25907135,82.61212158,81.63876343,81.58547974,81.40303802,78.66825104,95.42919159,107.9477463,109.2332535,114.0770416,124.9199829,
Austria,AUT,80.01152802,81.625,83.71476746,86.37422943,88.36398315,89.08804321,90.0317688,91.26030731,93.94904327,97.22318268,100.7773438,100.9501114,103.8643112,100.6405106,101.7219086,103.3649902,
Azerbaijan,AZE,19.27132988,20.89849091,22.36725998,23.42060089,24.08114052,25.44997978,26.74821091,26.05709076,24.15974998,23.53096962,25.58293915,26.55765915,24.8493309,25.7365303,23.10553932,23.87578964,
Burundi,BDI,0.771300018,1.117849946,1.213039994,1.200880051,1.269739985,1.697219968,1.672629952,3.301450014,,11.48841953,10.18647003,7.700240135,7.930799961,8.51196003,10.27686977,12.63022995,
Belgium,BEL,110.20681,111.1445389,113.1841278,115.7168808,116.9722977,120.7403717,120.3498383,119.0771637,118.6199493,118.7516403,119.8311234,121.0192566,120.3266296,118.8070679,117.8949966,116.4030075,
Benin,BEN,6.262839794,5.507880211,5.00714016,4.548409939,4.460000038,5.461830139,6.01060009,,12.37343025,13.12195015,16.8652401,18.61827087,18.56615067,19.42085075,20.60494041,23.90070915,
Burkina Faso,BFA,,,,,,,,2.994729996,,2.888809919,2.774699926,3.070440054,3.629209995,3.989490032,4.171629906,4.142320156,
Bangladesh,BGD,17.14171028,16.51709938,14.22819996,11.59817982,11.05706978,11.02464008,,,,10.8640604,12.69594955,24.79244995,,31.81228065,,31.22426987,
Bulgaria,BGR,70.54537964,70.43926239,72.85473633,75.76853943,77.24136353,79.66712189,82.06488037,82.56555939,82.43245697,83.15680695,83.52468872,83.83831787,83.18591309,83.16171265,83.01318359,82.91227722,
Bahrain,BHR,34.09315109,33.84244919,34.89437866,36.1251297,38.71503067,38.42361069,37.95059967,,43.76351166,48.60647964,50.40253067,51.41447067,50.97132874,53.81703949,57.02587128,55.85834122,
"Bahamas, The",BHS,15.79901028,,32.88375092,,,,,,,,,,,,,,
Belarus,BLR,84.49655914,86.62110138,91.19582367,92.66384125,96.07023621,102.9869003,105.1980209,104.8007736,102.6664581,99.44811249,101.584877,104.5589523,103.3367615,105.5593338,105.0427628,103.2291107,
Belize,BLZ,25.86327934,25.28594971,,24.82889938,24.49098969,28.38759041,31.08851051,32.01824951,37.47415924,39.13607025,42.53289032,43.4521904,46.50373077,49.06835938,50.24113083,49.67567062,
Bermuda,BMU,,55.52732086,52.40505981,48.93616867,53.28377151,48.95190811,49.19454956,,,,44.625,43.38422012,54.81771088,52.14477158,54.25823975,61.53845978,
Bolivia,BOL,48.83319855,48.783741,49.07701874,48.74765015,51.08752823,52.1873703,51.92642975,51.04861832,49.24782181,47.25162125,48.26211166,55.13520813,59.7021904,63.35054016,67.57906342,70.73162079,
Brazil,BRA,,,,,,,,53.72423935,57.42272186,56.28174973,,53.87617874,56.11553955,86.0359726,89.12452698,92.17723846,
Barbados,BRB,69.17330933,69.58959961,78.17279053,78.83377838,80.72502899,83.64479828,87.28292084,83.70379639,80.38764191,81.90515137,78.73780823,76.32758331,,,84.20606995,,
Brunei Darussalam,BRN,47.46514893,48.38492966,54.10440826,55.20030975,58.79412079,59.88108063,58.76826859,59.4189682,60.56813049,67.3901825,68.54297638,70.04184723,71.92288971,72.70191956,73.53894806,71.99848175,
Bhutan,BTN,1.181010008,,,,1.784199953,1.430590034,,0.749310017,1.032879949,1.282960057,2.333650112,5.353620052,9.036270142,13.32244968,17.04734993,,25.79932976
Botswana,BWA,,,,,,15.87957001,16.8719101,15.95351982,18.34918022,18.11474991,,,15.52532959,18.33289909,,,
Central African Republic,CAF,,,,1.715659976,,3.380130053,3.366460085,3.341629982,4.127699852,4.532989979,,5.589509964,,,,,
Canada,CAN,63.31055832,,,,,67.53341675,69.47982788,69.99942017,70.19805908,71.70030212,71.29981232,71.55017853,72.86067963,73.63790131,,,
Central Europe and the Baltics,CEB,62.31066895,63.09329987,64.4385376,66.85769653,68.64054108,71.10295868,72.55103302,74.02285767,74.70503235,76.35289001,78.61238098,80.65344238,82.34893799,84.48760223,83.8718338,,
