Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,110.8014374,109.4029007,110.9983063,109.2143021,110.8390503,111.3767166,114.2385864,115.224411,113.0788269,113.7757416,113.7417831,105.2193985,104.0627594,116.108017,117.3180389,,
Afghanistan,AFG,22.33481026,22.20237923,73.3095932,99.24848938,111.2605591,104.1713715,107.817421,104.6908188,106.4537735,102.2252884,105.5209274,102.8096313,108.9285202,110.0654373,111.744133,111.8770828,
Angola,AGO,,,,,,,,105.2104034,111.9137573,111.1583405,113.5078735,128.7041473,,,,,
Albania,ALB,104.7495193,103.473999,101.5591965,100.0177994,98.38082123,101.4723587,99.59384155,99.09313202,99.51950073,97.52532959,99.01331329,101.8157425,104.7843933,107.7845612,112.4866409,113.6997986,
Arab World,ARB,88.83899689,89.97328949,91.46868134,92.77078247,93.45256805,94.20487976,95.32099915,96.00354004,96.85666656,97.33731079,97.97268677,97.42421722,99.01986694,97.60108948,97.02707672,,
United Arab Emirates,ARE,90.13761139,87.697258,92.12941742,99.10974121,103.4887466,105.5068436,104.0567169,103.0905304,,97.32917023,99.69960785,99.0844574,101.4232025,100.9739532,106.7116699,116.3458405,
Argentina,ARG,117.3634872,118.064621,118.758522,116.5013123,117.8136368,117.1332932,118.8351974,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,109.9888916,,
Armenia,ARM,98.52625275,102.2236099,95.57846069,94.32559204,94.62056732,94.29905701,97.71125793,108.466713,107.5535812,102.4492416,,,,,,98.4666214,
Antigua and Barbuda,ATG,124.1303711,,,,,,,104.3192062,104.7472382,102.7987976,103.408989,100.6770477,97.89286041,,97.10739899,97.0528717,
Australia,AUS,100.3372879,100.2517776,101.150238,101.274971,101.8791199,102.3891525,103.0109634,104.9848633,105.0581284,105.3190613,105.7040863,105.9915009,106.4533234,106.5677719,106.0756989,102.2078171,
Austria,AUT,103.817421,103.0930099,101.3880081,100.6045532,100.8716888,100.9824905,101.6898117,101.7564621,100.7743683,100.2312622,99.83867645,99.86933136,100.7692795,101.5607224,102.2489777,102.9701614,
Azerbaijan,AZE,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,106.6014862,
Burundi,BDI,56.9054718,59.68107986,64.46746826,69.87505341,74.71753693,79.06214905,100.0449982,111.2996216,118.0977783,126.0699387,131.456955,135.1190491,133.3052826,130.4593048,127.6357727,123.7817917,
Belgium,BEL,104.8607101,104.2411423,103.4199982,102.7209091,101.3165131,101.2247086,101.8401337,102.7928009,103.5233612,103.523262,103.2656403,103.1886215,103.5501633,105.1199722,104.8543167,104.1929779,
Benin,BEN,81.20214844,89.10188293,94.3789978,97.84088898,101.5409088,98.54522705,98.79341888,,110.0333633,114.8725891,116.2887802,118.6075211,122.7695313,124.347908,125.561203,128.9833527,
Burkina Faso,BFA,45.01659012,46.43785858,47.06068039,49.31790924,53.88323975,58.33338165,62.06523895,67.66522217,73.20320129,77.55835724,77.83035278,81.28205109,83.68218994,85.26255798,86.89006805,87.99263,
Bangladesh,BGD,,,,,,98.66104126,99.40104675,98.60388947,96.54550171,99.76931763,102.6562881,111.8765564,,120.7367783,,120.4330597,
Bulgaria,BGR,104.3218307,105.7989197,104.9863205,105.8908081,105.115242,101.197197,98.64306641,100.3754883,101.5363693,102.9260178,103.6331711,101.5005112,100.1289368,99.37438965,99.0790329,97.2181778,
Bahrain,BHR,104.9617767,100.6757584,100.7407303,99.80986023,98.38226318,95.74597931,98.41713715,,,,,94.86897278,95.32286835,97.63314819,99.68023682,101.1711731,
"Bahamas, The",BHS,,,94.44444275,,103.7418365,109.1632309,107.8449631,111.2169724,111.244339,107.3528976,107.8977509,,,,,,
Belarus,BLR,113.1433182,113.9228363,111.0736694,100.9463882,98.62963104,97.30198669,98.436203,100.9466629,104.0266495,105.076683,103.449913,101.2123718,98.97614288,97.80240631,98.96627808,101.3416214,
Belize,BLZ,115.8899765,112.4040375,107.2696075,111.1721115,112.8914108,113.3220596,113.7301178,113.1587601,112.3514404,113.0153809,112.550499,111.4111176,113.7917099,112.0314484,111.7301865,113.1385117,
Bermuda,BMU,,101.2867584,101.509201,101.6246567,100.3965836,99.1047287,97.11438751,,,,92.28388977,89.83261108,87.50518799,86.45133972,87.47599792,90.34857941,
Bolivia,BOL,117.9613495,117.2047729,117.9078064,116.1759262,115.5439377,114.9427109,113.4143295,112.6471634,111.5192337,108.0386276,104.7076111,101.4560165,99.95999908,98.64202881,97.35877228,97.13803864,
