Country.Name,Country.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,96.48602295,97.9878006,100.5057297,99.09117126,97.25244141,95.92881775,97.35636902,102.5463562,94.64913177,96.72344208,95.82353973,97.01512146,111.1745224,,,,
Afghanistan,AFG,,13.04874039,,13.31707954,18.6647892,19.78370094,29.93045998,30.0831604,40.22338104,46.73276138,53.24682999,54.61618042,56.67734146,56.68865967,55.65615845,55.64440918,
Angola,AGO,13.77945042,15.57359028,16.8075695,,,,,,23.55459023,24.99245071,28.78130913,28.89871979,,,,,
Albania,ALB,71.45279694,72.905159,73.00286102,75.01898956,74.17028046,76.88706207,77.95588684,81.28086853,83.64891815,85.40930939,88.41163635,90.84835052,92.74147034,95.83157349,96.42608643,95.76548767,
Arab World,ARB,59.74517822,61.17179871,62.23492813,64.03777313,65.85385895,65.93100739,65.84793091,64.69815826,65.34229279,66.8289032,68.05088043,70.69149017,71.71656036,70.27468872,70.73504639,,
Argentina,ARG,96.52345276,97.46161652,96.5670929,95.75099182,95.49693298,94.00598907,93.34506989,93.70674896,95.24627686,98.83081818,101.8011169,103.599678,105.1925507,106.323143,106.7779007,,
Armenia,ARM,90.74996185,87.13641357,,,88.32073975,91.05856323,93.88583374,94.87297058,92.70561218,96.63288116,,,,,,88.50235748,
Antigua and Barbuda,ATG,77.87454224,,,,,,,102.6722565,110.8712387,108.5225067,106.2067184,106.1165466,105.3935089,,102.318222,102.7054596,
Australia,AUS,162.6100464,154.983963,154.3117218,156.1943512,149.9420624,148.3661041,127.3896179,126.3663788,128.0340576,130.3185425,132.4566956,134.2681122,136.8796234,137.5815125,137.5647888,,
Austria,AUT,98.84618378,99.10871124,99.16255951,99.62505341,99.67938232,100.5128021,100.4729919,99.80674744,99.48116302,99.68863678,98.86224365,98.19348907,97.7844162,98.93623352,99.29640198,100.0218887,
Burundi,BDI,,9.732150078,10.08815956,10.24190998,11.65470028,12.6990099,13.89468956,14.82828999,,19.76028061,22.8243103,25.51767921,27.89779091,32.27848816,37.88898087,42.48006821,
Belgium,BEL,144.6747131,153.7839966,155.8604431,158.9875641,107.9164963,108.354248,108.5035782,107.8707199,106.4128265,105.6959534,105.785881,106.4811325,106.3094635,163.1010132,164.8117371,166.8084717,
Benin,BEN,21.60569954,23.37586975,25.2930603,26.58069038,28.34750938,,,,,,,47.68149948,,54.16606903,54.36360168,56.81195831,
Burkina Faso,BFA,10.42230988,10.63871956,,12.07676029,13.25294971,14.30029964,15.04074955,16.16432953,18.90863991,20.28685951,21.9022007,23.84520912,25.94083977,28.36573029,30.33526993,33.66666031,
