Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,29.65608025,29.05586052,26.69796944,26.7562809,26.30441093,31.68346977,30.90319061,33.92612839,35.24048996,35.36231995,37.35770035,38.73762131,37.75569153,16.19582939,16.4054203,15.27377987,
Afghanistan,AFG,,,,1.256839991,1.256029963,,,,,3.903389931,,3.755980015,,,8.662799835,,
Angola,AGO,,,0.796679974,2.951679945,2.219850063,2.748780012,2.69178009,,,,,6.946090221,,9.923569679,,9.308019638,
Albania,ALB,15.6037302,15.97496033,16.43170929,16.80555916,20.05554008,23.31110001,26.62043953,30.65366936,32.07780075,33.40074921,44.54064941,49.67039871,58.56549072,62.54776001,62.70684814,58.10995102,
Arab World,ARB,18.16090012,18.76543045,19.56946945,19.55899048,20.69919014,21.73147964,22.19148064,22.73653984,23.43787003,24.09880066,24.76180077,24.27387047,25.77601051,27.33033943,28.17495918,,
Argentina,ARG,53.17573929,58.33248901,62.23300934,64.80724335,65.23638916,63.78536987,66.83110046,66.35090637,68.14135742,70.53328705,73.93920135,77.45388794,78.9728775,79.98670197,82.91738892,,
Armenia,ARM,34.85655975,32.81435013,35.23865891,36.20452118,36.79804993,38.36658859,41.76501846,44.3306694,46.59685135,49.14133835,50.64429855,51.00141907,43.9144783,43.31090164,44.25460815,44.30950165,
Antigua and Barbuda,ATG,,,,,,,,,,14.81005001,16.2319603,14.36835957,23.48624039,,,,
Australia,AUS,67.03890991,67.00505066,75.75243378,73.39425659,71.69843292,72.29192352,71.48291779,72.51995087,72.91854095,76.76537323,80.91708374,83.47075653,85.41391754,86.55455017,90.3065033,,
Austria,AUT,56.57257843,56.80604172,46.53516006,46.42351913,47.20038986,47.78224182,49.41302872,51.22851944,56.14997864,60.71657944,68.73217773,71.0109024,72.31488037,80.38678741,79.99864197,81.54051208,
Azerbaijan,AZE,,,,,,,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,
Burundi,BDI,1.157400012,1.127009988,1.762060046,,2.282619953,2.305350065,2.308729887,2.358230114,2.547950029,2.713140011,3.14944005,2.981899977,3.669130087,4.408170223,4.966060162,,
Belgium,BEL,57.5497818,58.24526978,59.11626816,59.86478043,61.24803162,61.40420151,61.95885849,61.34976959,62.10216904,65.19814301,67.71092224,69.72563171,71.24436951,72.30957031,73.31880188,75.03682709,
Benin,BEN,3.681040049,4.464389801,5.264689922,5.819910049,5.872039795,5.784349918,6.641930103,7.903719902,7.78704977,9.870059967,13.25990963,12.36511993,13.42121983,15.36277962,,,
Burkina Faso,BFA,,1.156659961,1.411880016,1.601390004,,2.307579994,2.440969944,2.611819983,3.180099964,3.532540083,3.578629971,4.146450043,4.558279991,4.775909901,,,5.562180042
Bangladesh,BGD,5.445340157,6.426919937,6.130790234,6.177800179,5.694300175,6.235270023,7.121930122,7.678040028,8.607930183,10.52058029,,13.28069019,13.38656044,,13.44079971,,
Bulgaria,BGR,44.49129868,43.01794052,40.86594009,41.52048111,41.93650818,44.27005005,45.81988907,49.52777863,51.35054016,54.11346054,58.01100159,59.62535858,62.74134064,66.53833771,70.78562927,73.93419647,
Bahrain,BHR,,,,27.94310951,,23.95824051,22.79460907,,,,,43.96572113,43.18819046,39.52645874,41.30863953,43.26322937,
Bosnia and Herzegovina,BIH,20.95005035,22.45634079,22.1083107,,,,,,,,,,,,,,
Belarus,BLR,54.61008072,56.89664841,59.36820984,62.12060928,64.34111786,67.0785675,69.44774628,71.59916687,71.24411774,74.45832062,79.42101288,85.70139313,90.43713379,91.0297699,88.85703278,87.94074249,
Belize,BLZ,,14.66629982,16.50700951,15.8401804,15.40738964,16.0301609,17.03046036,18.18984032,19.10354042,22.41007996,21.87334061,21.92108917,24.33289909,24.18479919,,23.29034996,
Bermuda,BMU,,,,,,,30.01988029,26.17432976,25.92593002,32.11095047,29.8167305,31.16543961,30.80260086,29.56159973,27.45973015,24.30069923,
Bolivia,BOL,33.56229019,35.72240829,36.19218063,38.72576141,39.09473038,,,38.39057159,,,,,,,,,
