"Country.Name","Country.Code","X2015"
"Aruba","ABW",75.59434146
"Afghanistan","AFG",63.29819512
"Angola","AGO",61.18934146
"Albania","ALB",78.20314634
"Arab World","ARB",71.02843854
"United Arab Emirates","ARE",77.4842439
"Argentina","ARG",76.29302439
"Armenia","ARM",74.20619512
"Antigua and Barbuda","ATG",76.07563415
"Australia","AUS",82.45121951
"Austria","AUT",81.84390244
"Azerbaijan","AZE",71.84519512
"Burundi","BDI",57.06934146
"Belgium","BEL",81.28780488
"Benin","BEN",60.58468293
"Burkina Faso","BFA",59.84465854
"Bangladesh","BGD",72.22160976
"Bulgaria","BGR",74.46585366
"Bahrain","BHR",76.86519512
"Bahamas, The","BHS",75.36878049
"Bosnia and Herzegovina","BIH",76.64029268
"Belarus","BLR",73.62439024
"Belize","BLZ",70.31097561
"Bermuda","BMU",81.01219512
"Bolivia","BOL",68.74980488
"Brazil","BRA",75.19912195
"Barbados","BRB",75.63790244
"Brunei Darussalam","BRN",77.0667561
"Bhutan","BTN",69.80712195
"Botswana","BWA",65.75109756
"Central African Republic","CAF",51.37785366
"Canada","CAN",82.12902439
"Central Europe and the Baltics","CEB",77.0269071
"Switzerland","CHE",83.19756098
"Channel Islands","CHI",80.88526829
"Chile","CHL",79.16068293
"China","CHN",76.11709756
"Cote d'Ivoire","CIV",53.0782439
"Cameroon","CMR",57.5575122
"Congo, Dem. Rep.","COD",59.17321951
"Congo, Rep.","COG",64.09073171
"Colombia","COL",74.15619512
"Comoros","COM",63.46068293
"Cabo Verde","CPV",72.43517073
"Costa Rica","CRI",79.60890244
"Caribbean small states","CSS",73.04810113
"Cuba","CUB",79.54370732
"Curacao","CUW",73.959510098
"Cyprus","CYP",80.29104878
"Czech Republic","CZE",79.47317073
"Germany","DEU",81.0902439
"Djibouti","DJI",62.24982927
"Dominica","DMA",66.311528986
"Denmark","DNK",81.1
"Dominican Republic","DOM",73.70368293
"Algeria","DZA",75.85529268
"East Asia & Pacific (excluding high income)","EAP",74.34183078
"Early-demographic dividend","EAR",69.52779013
"East Asia & Pacific","EAS",75.25604166
"Europe & Central Asia (excluding high income)","ECA",72.46689195
"Europe & Central Asia","ECS",77.3948729
"Ecuador","ECU",76.0815122
"Egypt, Arab Rep.","EGY",71.29565854
"Euro area","EMU",82.07022116
"Eritrea","ERI",64.62439024
"Spain","ESP",83.3804878
"Estonia","EST",77.13170732
"Ethiopia","ETH",65.00829268
"European Union","EUU",81.1263925
"Fragile and conflict affected situations","FCS",62.04935535
"Finland","FIN",81.38536585
"Fiji","FJI",70.22426829
"France","FRA",82.67073171
"Faroe Islands","FRO",81.63414634
"Micronesia, Fed. Sts.","FSM",69.04663415
"Gabon","GAB",65.68441463
"United Kingdom","GBR",81.60487805
"Georgia","GEO",72.96612195
"Ghana","GHA",62.4072439
"Guinea","GIN",59.39895122
"Gambia, The","GMB",60.95743902
"Guinea-Bissau","GNB",56.95039024
"Equatorial Guinea","GNQ",57.50839024
"Greece","GRC",81.58780488
"Grenada","GRD",73.49953659
"Greenland","GRL",73.853770402
"Guatemala","GTM",73.04297561
"Guam","GUM",79.37763415
"Guyana","GUY",66.53936585
"High income","HIC",80.74130969
"Hong Kong SAR, China","HKG",84.27804878
"Honduras","HND",73.32460976
"Heavily indebted poor countries (HIPC)","HPC",61.6223619
"Croatia","HRV",77.27560976
"Haiti","HTI",63.01078049
"Hungary","HUN",75.96097561
"IBRD only","IBD",72.55544022
"IDA & IBRD total","IBT",70.24842028
"IDA total","IDA",63.27507351
"IDA blend","IDB",61.35832808
"Indonesia","IDN",69.03863415
"IDA only","IDX",64.22299397
"Isle of Man","IMN",73.101720744
"India","IND",68.33260976
"Ireland","IRL",81.50243902
"Iran, Islamic Rep.","IRN",75.74263415
"Iraq","IRQ",69.63460976
"Iceland","ISL",82.86097561
"Israel","ISR",82.05121951
"Italy","ITA",83.4902439
"Jamaica","JAM",75.80668293
"Jordan","JOR",74.19102439
"Japan","JPN",83.84365854
"Kazakhstan","KAZ",72
"Kenya","KEN",66.64565854
"Kyrgyz Republic","KGZ",70.65121951
"Cambodia","KHM",68.47204878
"Kiribati","KIR",66.05219512
"St. Kitts and Nevis","KNA",71.219907316
"Korea, Rep.","KOR",82.15585366
"Kuwait","KWT",74.74682927
"Latin America & Caribbean (excluding high income)","LAC",75.13039619
"Lao PDR","LAO",66.28404878
"Lebanon","LBN",79.4982439
"Liberia","LBR",61.98021951
"Libya","LBY",71.83039024
"St. Lucia","LCA",75.2835122
"Latin America & Caribbean","LCN",75.27120874
"Least developed countries: UN classification","LDC",64.0646819
"Low income","LIC",62.06047438
"Liechtenstein","LIE",82.07317073
"Sri Lanka","LKA",74.98895122
"Lower middle income","LMC",67.7051777
"Low & middle income","LMY",70.19326103
"Lesotho","LSO",53.57009756
"Late-demographic dividend","LTE",75.52288235
"Lithuania","LTU",75.1195122
"Luxembourg","LUX",82.22926829
"Latvia","LVA",74.12439024
"Macao SAR, China","MAC",83.59490244
"St. Martin (French part)","MAF",79.47073171
"Morocco","MAR",75.52014634
"Moldova","MDA",71.37121951
"Madagascar","MDG",65.50782927
"Maldives","MDV",77.12026829
"Middle East & North Africa","MEA",73.32241546
"Mexico","MEX",76.88136585
"Marshall Islands","MHL",71.914058324
"Middle income","MIC",71.13718238
"Macedonia, FYR","MKD",75.52431707
"Mali","MLI",57.45770732
"Malta","MLT",81.94634146
"Myanmar","MMR",66.38563415
"Middle East & North Africa (excluding high income)","MNA",72.7953708
"Montenegro","MNE",76.86431707
"Mongolia","MNG",69.11587805
"Mozambique","MOZ",57.60926829
"Mauritania","MRT",63.04636585
"Mauritius","MUS",74.35317073
"Malawi","MWI",62.54336585
"Malaysia","MYS",75.22019512
"North America","NAC",79.08222552
"Namibia","NAM",63.63643902
"New Caledonia","NCL",77.77317073
"Niger","NER",59.68187805
"Nigeria","NGA",52.97792683
"Nicaragua","NIC",75.038
"Netherlands","NLD",81.70731707
"Norway","NOR",82.1
"Nepal","NPL",69.86985366
"New Zealand","NZL",81.45682927
"OECD members","OED",80.28312399
"Oman","OMN",77.12182927
"Other small states","OSS",67.33112903
"Pakistan","PAK",66.33217073
"Panama","PAN",77.81743902
"Peru","PER",74.71341463
"Philippines","PHL",69.00985366
"Palau","PLW",70.864810142
"Papua New Guinea","PNG",65.38770732
"Poland","POL",78.20487805
"Pre-demographic dividend","PRE",59.50281022
"Puerto Rico","PRI",79.59612195
"Korea, Dem. People¡¯s Rep.","PRK",71.2387561
"Portugal","PRT",81.52195122
"Paraguay","PRY",73.04297561
"West Bank and Gaza","PSE",73.30168293
"Pacific island small states","PSS",70.75254202
"Post-demographic dividend","PST",80.64646234
"French Polynesia","PYF",76.6915122
"Qatar","QAT",78.46270732
"Romania","ROU",74.96097561
"Russian Federation","RUS",70.90853659
"Rwanda","RWA",66.62087805
"South Asia","SAS",68.48545298
"Saudi Arabia","SAU",74.5744878
"Sudan","SDN",64.22941463
"Senegal","SEN",66.66143902
"Singapore","SGP",82.59512195
"Solomon Islands","SLB",70.47668293
"Sierra Leone","SLE",51.41285366
"El Salvador","SLV",73.00309756
"San Marino","SMR",74.595893542
"Somalia","SOM",55.87285366
"Serbia","SRB",75.48780488
"Sub-Saharan Africa (excluding high income)","SSA",59.90058785
"South Sudan","SSD",56.30258537
"Sub-Saharan Africa","SSF",59.90182611
"Small states","SST",68.57721416
"Sao Tome and Principe","STP",66.41665854
"Suriname","SUR",71.28619512
"Slovak Republic","SVK",77.21219512
"Slovenia","SVN",81.07804878
"Sweden","SWE",82.55121951
"Swaziland","SWZ",56.91236585
"Sint Maarten (Dutch part)","SXM",72.5710188
"Seychelles","SYC",73.22926829
"Syrian Arab Republic","SYR",70.25265854
"Chad","TCD",52.55395122
"East Asia & Pacific (IDA & IBRD countries)","TEA",74.38078
"Europe & Central Asia (IDA & IBRD countries)","TEC",72.94809221
"Togo","TGO",59.92370732
"Thailand","THA",75.068
"Tajikistan","TJK",71.00712195
"Turkmenistan","TKM",67.64104878
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",75.16584183
"Timor-Leste","TLS",68.58002439
"Middle East & North Africa (IDA & IBRD countries)","TMN",72.78920326
"Tonga","TON",72.84017073
"South Asia (IDA & IBRD)","TSA",68.48545298
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",59.90182611
"Trinidad and Tobago","TTO",70.58885366
"Tunisia","TUN",75.49704878
"Turkey","TUR",75.40709756
"Tanzania","TZA",64.90331707
"Uganda","UGA",59.5087561
"Ukraine","UKR",71.1895122
"Upper middle income","UMC",75.11854968
"Uruguay","URY",77.13163415
"United States","USA",78.74146341
"Uzbekistan","UZB",71.14568293
"St. Vincent and the Grenadines","VCT",73.06495122
"Venezuela, RB","VEN",74.3915122
"Virgin Islands (U.S.)","VIR",79.87317073
"Vietnam","VNM",75.89119512
"Vanuatu","VUT",71.98490244
"World","WLD",71.88880421
"Samoa","WSM",74.83870732
"Kosovo","XKX",71.34634146
"Yemen, Rep.","YEM",64.72568293
"South Africa","ZAF",61.93409756
"Zambia","ZMB",61.33958537
"Zimbabwe","ZWE",60.27934146
