"Country.Name","Country.Code","X2015","gdp","sani","pre","pri","sec","ter","smo.Daily.tobacco","smo.Daily.cigarettes","ob","al","co2","hiv"
"Afghanistan","AFG",63.29819512,19469022208,31.9,81.8307924275,111.8770828,55.64440918,27.22027016,18.4,15.264,23,1,0.299444991,0.1
"Angola","AGO",61.18934146,89633156470,51.6,36.353937626,105.6817417,99.84231058,9.308019638,18.4,15.264,27.5,7.6,1.291328315,2.4
"Albania","ALB",78.20314634,11926892453,93.2,88.60224152,113.6997986,95.76548767,58.10995102,23.8,21.3,57.7,6.6,1.978763312,1.1
"Argentina","ARG",76.29302439,5.46e+11,96.4,36.3745361953333,102.939933766667,92.24218367,51.1580472,18.1,17.3,62.7,7.6,4.746797455,0.5
"Armenia","ARM",74.20619512,10547331235,89.5,52.39516068,98.4666214,88.50235748,44.30950165,24.7,22.7,54.4,5.5,1.90275891,0.2
"Australia","AUS",82.45121951,1.2e+12,100,124.9199829,102.2078171,92.24218367,44.1206506066667,13.7,11,64.5,12.6,15.39859985,1.666666667
"Austria","AUT",81.84390244,3.86e+11,100,103.3649902,102.9701614,100.0218887,81.54051208,18.4,15.264,54.3,8.5,6.87371322,2.2
"Burundi","BDI",57.06934146,3007029030,48,12.63022995,123.7817917,42.48006821,60.0887959766667,18.4,15.264,22.2,9.8,0.044485376,1.1
"Belgium","BEL",81.28780488,4.66e+11,99.5,116.4030075,104.1929779,166.8084717,75.03682709,19.7,15.5,59.5,10.8,8.328159898,1.15
"Benin","BEN",60.58468293,8583031398,19.7,23.90070915,128.9833527,56.81195831,51.3512738533333,7.4,4.6,29.5,2.2,0.614213852,1.1
"Burkina Faso","BFA",59.84465854,12115155932,19.7,4.142320156,87.99263,33.66666031,34.46638536575,16.2,7.7,23.2,7.4,0.162018806,0.9
"Bangladesh","BGD",72.22160976,2.21e+11,60.6,31.22426987,120.4330597,63.5245285,65.939650535,19.6,12.5,20,0.2,0.459141965,0.1
"Bulgaria","BGR",74.46585366,52395164027,86,82.91227722,97.2181778,99.01634979,73.93419647,30,27.1,61.7,11.3,5.871615869,0.433333333
"Belarus","BLR",73.62439024,47433442293,94.3,103.2291107,101.3416214,107.1194229,87.94074249,22.6,21.1,59.4,17.1,6.701957705,0.5
"Belize","BLZ",70.31097561,1765256400,90.5,49.67567062,113.1385117,80.79221344,23.29034996,18.4,15.264,54.8,8.3,1.407601494,1.2
