"Country.Name","Country.Code","X2015"
"Aruba","ABW",96.64560445
"Afghanistan","AFG",55.64440918
"Angola","AGO",99.84231058
"Albania","ALB",95.76548767
"Arab World","ARB",87.8114042275
"Argentina","ARG",92.24218367
"Armenia","ARM",88.50235748
"Antigua and Barbuda","ATG",102.7054596
"Australia","AUS",92.24218367
"Austria","AUT",100.0218887
"Burundi","BDI",42.48006821
"Belgium","BEL",166.8084717
"Benin","BEN",56.81195831
"Burkina Faso","BFA",33.66666031
"Bangladesh","BGD",63.5245285
"Bulgaria","BGR",99.01634979
"Bahrain","BHR",102.1308975
"Bahamas, The","BHS",79.2512652
"Belarus","BLR",107.1194229
"Belize","BLZ",80.79221344
"Bermuda","BMU",71.5424118
"Bolivia","BOL",86.40506744
"Brazil","BRA",99.65097046
"Barbados","BRB",93.63082079
"Brunei Darussalam","BRN",96.07946777
"Bhutan","BTN",56.347860335
"Botswana","BWA",58.67082405
"Central African Republic","CAF",97.204867556
"Canada","CAN",77.07879829
"Central Europe and the Baltics","CEB",86.20725154
"Switzerland","CHE",101.2139664
"Chile","CHL",100.6461868
"China","CHN",94.29920959
"Cote d'Ivoire","CIV",43.86772919
"Cameroon","CMR",58.07812881
"Congo, Dem. Rep.","COD",104.08695602
"Congo, Rep.","COG",105.5617294
"Colombia","COL",98.09185791
"Comoros","COM",61.20574951
"Cabo Verde","CPV",92.89842987
"Costa Rica","CRI",123.0857315
"Caribbean small states","CSS",50.5293598166667
"Cuba","CUB",100.3998718
"Curacao","CUW",101.777824396667
"Cyprus","CYP",99.77831268
"Czech Republic","CZE",105.5617294
"Germany","DEU",102.6653976
"Djibouti","DJI",47.06901932
"Dominica","DMA",100.4878922
"Denmark","DNK",130.8247375
"Dominican Republic","DOM",77.82071686
"Algeria","DZA",52.1562461833333
"East Asia & Pacific (excluding high income)","EAP",91.04235611
"Early-demographic dividend","EAR",63.1692118566667
"East Asia & Pacific","EAS",115.964232445
"Europe & Central Asia (excluding high income)","ECA",71.3508481958333
"Europe & Central Asia","ECS",92.128059116
"Ecuador","ECU",107.7006912
"Egypt, Arab Rep.","EGY",110.5796213125
"Euro area","EMU",102.062605664
"Eritrea","ERI",30.54986
"Spain","ESP",129.8104858
"Estonia","EST",115.1782227
"Ethiopia","ETH",35.17324829
"European Union","EUU",90.696234418
"Fragile and conflict affected situations","FCS",96.8117371831667
"Finland","FIN",149.4560852
"Fiji","FJI",100.539477727
"France","FRA",97.5378375808889
"Micronesia, Fed. Sts.","FSM",86.93903923
"Gabon","GAB",89.8352500388111
"United Kingdom","GBR",103.89224443425
"Georgia","GEO",103.6816177
"Ghana","GHA",61.41250992
"Guinea","GIN",73.9770948385
"Gambia, The","GMB",84.0684610086667
"Guinea-Bissau","GNB",87.2909075266667
"Equatorial Guinea","GNQ",96.9059448266667
"Greece","GRC",100.9850551192
"Grenada","GRD",99.17962646
"Guatemala","GTM",65.62670135
"Guyana","GUY",58.597635745
"High income","HIC",106.6345596
"Hong Kong SAR, China","HKG",100.8419037
"Honduras","HND",70.77558899
"Heavily indebted poor countries (HIPC)","HPC",86.1890158983333
"Croatia","HRV",98.21647644
"Hungary","HUN",105.2037735
"IBRD only","IBD",98.565547172
"IDA & IBRD total","IBT",58.2555952075
"IDA total","IDA",86.6418039391667
"IDA blend","IDB",94.0190256191667
"Indonesia","IDN",85.84207916
"IDA only","IDX",91.1073721875
"India","IND",73.96920013
"Ireland","IRL",127.4819183
"Iran, Islamic Rep.","IRN",89.16723633
"Iraq","IRQ",95.9075889661333
"Iceland","ISL",95.333139404
"Israel","ISR",102.4788132
"Italy","ITA",102.9024582
"Jamaica","JAM",82.10732269
"Jordan","JOR",64.8971518433333
"Japan","JPN",97.0397924348333
"Kazakhstan","KAZ",109.1081009
"Kenya","KEN",108.35930824
"Kyrgyz Republic","KGZ",92.05046844
"Cambodia","KHM",93.0300431265333
"Kiribati","KIR",87.4519997821333
"St. Kitts and Nevis","KNA",90.3914566
"Korea, Rep.","KOR",98.88208771
"Kuwait","KWT",94.97264862
"Latin America & Caribbean (excluding high income)","LAC",62.7711925486667
"Lao PDR","LAO",61.69723892
"Lebanon","LBN",61.20574951
"Liberia","LBR",37.29980087
"Libya","LBY",71.674520872
"St. Lucia","LCA",85.14270782
"Latin America & Caribbean","LCN",61.753747176
"Least developed countries: UN classification","LDC",98.1379440662267
"Low income","LIC",39.30884933
"Liechtenstein","LIE",116.1234436
"Sri Lanka","LKA",98.95547748405
"Lower middle income","LMC",68.3248291
"Lesotho","LSO",53.77215958
"Late-demographic dividend","LTE",116.38692577
"Lithuania","LTU",108.2596512
"Luxembourg","LUX",94.6541154517
"Latvia","LVA",119.4924469
"Macao SAR, China","MAC",96.47918701
"Morocco","MAR",93.58356656994
"Moldova","MDA",86.10812378
"Madagascar","MDG",80.7318030119667
"Maldives","MDV",67.844193776
"Middle East & North Africa","MEA",103.425207611433
"Mexico","MEX",98.9562906332
"Marshall Islands","MHL",76.61187744
"Middle income","MIC",77.75965881
"Macedonia, FYR","MKD",79.2940979
"Mali","MLI",41.30747986
"Malta","MLT",94.8015976
"Myanmar","MMR",85.166567796
"Middle East & North Africa (excluding high income)","MNA",111.248057887833
"Montenegro","MNE",90.34223175
"Mongolia","MNG",91.46233368
"Mozambique","MOZ",32.43180847
"Mauritania","MRT",30.5981102
