Afghanistan	"Pashtun 42%,"
Albania	Albanian 95%
Algeria	Arab-Berber 99%
Algeria	Arab-Berber 99%
Angola	Ovimbundu 37%
Angola	Ovimbundu 37%
Argentina	white (mostly Spanish and Italian) 97%
Armenia	Armenian 97.9%
Australia	Caucasian 92%
Bahrain	Bahraini 62.4%
Bangladesh	Bengali 98%
Barbados	black 90%
Belarus	Belorussian 81.2%
Belgium	Fleming 58%
Belize	mestizo 48.7%
Benin	African 99%
Botswana	Tswana (or Setswana) 79%
Brazil	white 53.7%
Bulgaria	Bulgarian 83.9%
Burkina Faso	Mossi (over 40%)
Burundi	Hutu (Bantu) 85%
Cambodia	Khmer 90%
Cameroon	Cameroon Highlanders 31%
Canada	British Isles origin 28%
Cabo Verde	Creole (mulatto) 71%
Central African Republic	Baya 33%
Chad	 Muslim: Arabs
Chile	white and white-Amerindian 95%
China	Han Chinese 91.9%
Colombia	mestizo 58%
Comoros	Antalote
Costa Rica	white (including mestizo) 94%
Cote d'Ivoire	Akan 42.1%
Croatia	Croat 89.6%
Cuba	mulatto 51%
Denmark	White
Djibouti	Somali 60%
Dominican Republic	"white 16%, black 11%, mixed 73%"
Ecuador	mestizo (mixed Amerindian and white) 65%
Egypt	Egyptian 98%
El Salvador	mestizo 90%
Equatorial Guinea	"Bioko (primarily Bubi, some Fernandinos)"
Eritrea	ethnic Tigrinya 50%
Ethiopia	Oromo 40%
Fiji	Fijian 51%
Finland	Finn 93.4%
France	"Celtic and Latin with Teutonic, Slavic"
Gabon	"Bantu tribes, including four major tribal groupings: Fang, Punu, Nzeiby, Mbede (Obamba/Bateke); other Africans and Europeans 10.8%, including 0.8% French and 0.8% persons of dual nationality"
Georgia	Georgian 83.8%
Germany	German 91.5%
Ghana	black African 98.5%
Greece	Greek 98%
Guatemala	"Mestizo (Ladino)?mixed Amerindian-Spanish ancestry?and European 59.4%, K'iche 9.1%, Kaqchikel 8.4%, Mam 7.9%, Q'eqchi 6.3%, other Mayan 8.6%, indigenous non-Mayan 0.2%, other 0.1% (2001)"
Guinea	"Peuhl 40%, Malinke 30%, Susu 20%, smaller tribes 10%"
Guinea-Bissau	"African 99% (Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1%"
Guyana	"East Indian 50%; black 36%; Amerindian 7%; white, Chinese, and mixed 7%"
Honduras	"mestizo 90%, Amerindian 7%, black 2%, white 1%"
