Country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016
Afghanistan,14.2,14.7,15.2,15.6,16.1,16.6,17.1,17.7,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.3,23
Albania,46,46.6,47.3,48,48.7,49.5,50.2,51,51.8,52.5,53.3,54,54.8,55.5,56.3,57,57.7
Algeria,49.5,50.2,51,51.9,52.7,53.5,54.3,55,55.8,56.6,57.4,58.2,59,59.8,60.5,61.3,62
Andorra,59.9,60.2,60.5,60.8,61.1,61.3,61.6,61.8,62,62.2,62.5,62.7,62.9,63.1,63.3,63.5,63.7
Angola,17.8,18.3,18.8,19.4,20,20.5,21.1,21.7,22.3,22.9,23.6,24.2,24.8,25.5,26.2,26.8,27.5
Antigua and Barbuda,39.4,40,40.5,41,41.5,42.1,42.6,43.1,43.6,44.1,44.7,45.2,45.7,46.3,46.9,47.4,48
Argentina,54.4,54.9,55.5,56,56.6,57.1,57.6,58.2,58.7,59.2,59.7,60.2,60.7,61.2,61.8,62.3,62.7
Armenia,46.5,47,47.4,47.8,48.3,48.8,49.3,49.8,50.3,50.8,51.3,51.8,52.3,52.8,53.4,53.9,54.4
Australia,56.3,56.9,57.5,58.1,58.6,59.2,59.7,60.2,60.7,61.2,61.7,62.2,62.7,63.1,63.6,64,64.5
Austria,47.5,47.9,48.4,48.8,49.3,49.7,50.2,50.6,51,51.4,51.8,52.2,52.6,53,53.4,53.9,54.3
Azerbaijan,43.7,44.2,44.7,45.3,45.8,46.4,47,47.7,48.3,48.9,49.6,50.2,50.9,51.6,52.2,52.9,53.6
Bahamas,55.7,56.3,56.9,57.5,58,58.6,59.1,59.7,60.2,60.7,61.3,61.8,62.3,62.8,63.3,63.9,64.4
Bahrain,57.4,57.9,58.4,58.9,59.3,59.8,60.3,60.8,61.3,61.9,62.4,63,63.5,64.1,64.7,65.2,65.8
Bangladesh,11.6,12,12.4,12.9,13.3,13.8,14.3,14.8,15.3,15.8,16.4,17,17.6,18.2,18.8,19.4,20
Barbados,42.1,42.8,43.5,44.1,44.8,45.4,46.1,46.7,47.3,47.9,48.6,49.2,49.8,50.5,51.1,51.8,52.4
Belarus,52.2,52.7,53.1,53.6,54.1,54.5,55,55.5,55.9,56.4,56.8,57.3,57.7,58.1,58.6,59,59.4
Belgium,54.5,54.9,55.2,55.6,55.9,56.2,56.6,56.9,57.2,57.5,57.8,58.1,58.3,58.6,58.9,59.2,59.5
Belize,45.2,45.8,46.5,47.1,47.7,48.3,48.9,49.5,50.1,50.6,51.2,51.8,52.4,53,53.6,54.2,54.8
Benin,21,21.5,22,22.4,22.9,23.5,24,24.5,25,25.6,26.1,26.6,27.2,27.8,28.4,28.9,29.5
Bhutan,15.8,16.4,17.1,17.7,18.4,19.1,19.8,20.6,21.3,22,22.7,23.4,24.2,24.9,25.6,26.4,27.1
Bolivia (Plurinational State of),45.9,46.6,47.3,47.9,48.6,49.2,49.9,50.5,51.2,51.8,52.4,53.1,53.7,54.3,54.9,55.5,56.1
Bosnia and Herzegovina,45.4,45.8,46.3,46.8,47.2,47.7,48.2,48.7,49.2,49.7,50.2,50.7,51.2,51.7,52.2,52.8,53.3
Botswana,34.6,35.3,35.9,36.6,37.2,37.8,38.3,38.9,39.4,39.9,40.4,40.9,41.4,41.9,42.4,42.9,43.4
Brazil,46,46.7,47.4,48.1,48.8,49.5,50.2,50.8,51.5,52.1,52.7,53.4,54,54.6,55.3,55.9,56.5
Brunei Darussalam,28.5,29.2,30,30.7,31.5,32.2,33,33.8,34.6,35.4,36.2,37,37.9,38.7,39.5,40.4,41.2
Bulgaria,54,54.5,54.9,55.4,55.9,56.4,56.9,57.4,57.9,58.4,58.9,59.3,59.8,60.3,60.8,61.2,61.7
Burkina Faso,14.4,14.8,15.3,15.8,16.3,16.8,17.3,17.8,18.4,19,19.5,20.1,20.7,21.3,21.9,22.6,23.2
Burundi,14.9,15.3,15.7,16.1,16.5,16.9,17.3,17.7,18.2,18.6,19.1,19.6,20.1,20.6,21.1,21.6,22.2
Cabo Verde,24.7,25.3,25.9,26.6,27.2,27.8,28.5,29.1,29.8,30.4,31,31.6,32.3,32.9,33.5,34.2,34.8
Cambodia,13.4,13.9,14.3,14.8,15.3,15.7,16.2,16.7,17.2,17.7,18.3,18.8,19.4,19.9,20.5,21.1,21.7
Cameroon,23.7,24.3,24.9,25.5,26.1,26.7,27.3,27.9,28.5,29.2,29.8,30.4,31,31.7,32.3,33,33.6
Canada,55.6,56.3,56.9,57.5,58.1,58.6,59.2,59.7,60.2,60.7,61.2,61.7,62.2,62.7,63.2,63.7,64.1
Central African Republic,18.7,19.1,19.5,19.9,20.3,20.8,21.2,21.6,22.1,22.6,23,23.5,24,24.6,25.1,25.6,26.2
Chad,16.1,16.5,16.9,17.3,17.7,18.1,18.5,18.9,19.3,19.8,20.2,20.7,21.1,21.6,22.1,22.6,23.1
Chile,54.5,55,55.6,56.2,56.7,57.3,57.8,58.4,58.9,59.5,60,60.5,61,61.5,62,62.6,63.1
China,20.8,21.4,22,22.7,23.4,24.1,24.8,25.5,26.2,27,27.8,28.5,29.3,30,30.8,31.6,32.3
Colombia,49.7,50.3,50.9,51.5,52.1,52.7,53.3,53.9,54.5,55.1,55.6,56.2,56.8,57.4,57.9,58.5,59
Comoros,19.9,20.3,20.7,21.1,21.5,21.9,22.4,22.8,23.2,23.7,24.1,24.6,25.1,25.6,26.1,26.6,27.1
Congo,22.1,22.6,23.1,23.6,24.1,24.7,25.2,25.7,26.3,26.8,27.4,28,28.6,29.1,29.7,30.3,30.9
Congo (Democratic Republic of the),17,17.4,17.9,18.3,18.8,19.3,19.8,20.3,20.8,21.3,21.8,22.4,23,23.5,24.1,24.7,25.3
Cook Islands,77.2,77.9,78.5,79.1,79.7,80.3,80.9,81.4,81.8,82.3,82.7,83.1,83.4,83.8,84.1,84.4,84.7
Costa Rica,47.7,48.6,49.5,50.4,51.3,52.2,53.2,54.1,55,55.9,56.7,57.6,58.4,59.2,60,60.8,61.6
Cote d'Ivoire,21.6,22.1,22.7,23.2,23.8,24.4,25,25.7,26.3,26.9,27.6,28.2,28.9,29.6,30.3,30.9,31.6
Croatia,51.4,51.8,52.3,52.8,53.3,53.8,54.3,54.9,55.4,55.9,56.4,57,57.5,58,58.6,59.1,59.6
Cuba,48.9,49.6,50.2,50.8,51.4,52,52.6,53.2,53.8,54.4,55,55.6,56.2,56.8,57.3,57.9,58.5
Cyprus,52.5,53,53.5,54,54.4,54.9,55.3,55.7,56.1,56.5,56.9,57.3,57.7,58,58.4,58.8,59.1
Czechia,56.8,57.1,57.4,57.7,58.1,58.4,58.8,59.1,59.5,59.8,60.2,60.6,60.9,61.3,61.6,62,62.3
Denmark,49.3,49.7,50.2,50.6,51,51.4,51.7,52.1,52.5,52.9,53.3,53.6,54,54.3,54.7,55.1,55.4
Djibouti,31.9,32.3,32.7,33.1,33.5,33.9,34.3,34.7,35.1,35.5,35.9,36.4,36.8,37.2,37.7,38.1,38.6
Dominica,49.8,50.4,51.1,51.7,52.4,53.1,53.7,54.4,55.1,55.7,56.4,57.1,57.7,58.4,59,59.7,60.3
Dominican Republic,46.1,47.1,48,48.9,49.9,50.8,51.8,52.8,53.8,54.8,55.7,56.7,57.6,58.5,59.4,60.3,61.2
Ecuador,46.4,47,47.7,48.3,49,49.6,50.2,50.8,51.4,52,52.5,53.1,53.7,54.3,54.8,55.4,56
Egypt,53.1,53.7,54.3,55,55.6,56.3,56.9,57.6,58.2,58.9,59.5,60.2,60.8,61.5,62.2,62.8,63.5
El Salvador,48.5,49.4,50.2,51,51.8,52.5,53.3,54,54.7,55.4,56,56.7,57.4,58,58.7,59.3,59.9
Equatorial Guinea,19.3,19.7,20.1,20.5,20.9,21.3,21.8,22.2,22.7,23.1,23.6,24.1,24.6,25.1,25.6,26.1,26.7
Eritrea,14.9,15.3,15.6,16,16.4,16.8,17.2,17.7,18.1,18.5,19,19.5,20,20.5,21,21.5,22
Estonia,50.8,51,51.3,51.6,51.9,52.2,52.5,52.8,53.1,53.5,53.8,54.1,54.4,54.8,55.1,55.4,55.8
Ethiopia,14.1,14.4,14.8,15.2,15.5,15.9,16.3,16.7,17.1,17.6,18,18.5,18.9,19.4,19.9,20.4,20.9
Fiji,53.4,54.1,54.8,55.5,56.2,56.8,57.5,58.1,58.8,59.4,60.1,60.7,61.3,62,62.6,63.2,63.8
Finland,51.9,52.3,52.8,53.2,53.6,54,54.4,54.8,55.2,55.5,55.9,56.2,56.6,56.9,57.2,57.6,57.9
France,52.1,52.6,53.1,53.5,54,54.5,55,55.4,55.9,56.4,56.8,57.3,57.7,58.2,58.6,59,59.5
