Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,73.72419512,73.78443902,73.86217073,73.95882927,74.07190244,74.19990244,74.33882927,74.4827561,74.62768293,74.77114634,74.91063415,75.04765854,75.18319512,75.31973171,75.45678049,75.59434146,
Afghanistan,AFG,55.49892683,56.06070732,56.65353659,57.26587805,57.89121951,58.51558537,59.12595122,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293,63.29819512,
Angola,AGO,47.0767561,48.16263415,49.30156098,50.46612195,51.63285366,52.78770732,53.92712195,55.0475122,56.13929268,57.181,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171,61.18934146,
Albania,ALB,74.01402439,74.36292683,74.67065854,74.93470732,75.15709756,75.35702439,75.5612439,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024,78.20314634,
Arab World,ARB,67.70347437,67.95668321,68.20217114,68.44820923,68.69853756,68.95180524,69.20331866,69.44569144,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949,71.02843854,
United Arab Emirates,ARE,74.50946341,74.76687805,75.01831707,75.26382927,75.50141463,75.72853659,75.94419512,76.14834146,76.34041463,76.52243902,76.69487805,76.85978049,77.01914634,77.175,77.32936585,77.4842439,
Argentina,ARG,73.75580488,73.96031707,74.15578049,74.34126829,74.51878049,74.68831707,74.85141463,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134,76.29302439,
Armenia,ARM,71.19965854,71.58197561,71.88839024,72.12097561,72.28473171,72.39878049,72.4912439,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537,74.20619512,
Antigua and Barbuda,ATG,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61914634,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756,76.07563415,
Australia,AUS,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.45121951,
Austria,AUT,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.84390244,
Azerbaijan,AZE,66.68158537,66.9724878,67.31060976,67.71256098,68.17343902,68.67709756,69.19904878,69.70621951,70.171,70.5784878,70.91860976,71.18963415,71.40568293,71.58141463,71.7247561,71.84519512,
Burundi,BDI,51.48792683,51.7287561,51.93319512,52.15221951,52.40380488,52.70536585,53.06378049,53.46646341,53.90187805,54.36202439,54.837,55.31441463,55.78287805,56.2345122,56.66331707,57.06934146,
Belgium,BEL,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,81.28780488,
Benin,BEN,55.3107561,55.58917073,55.94865854,56.36209756,56.81492683,57.28560976,57.74912195,58.18897561,58.59070732,58.94680488,59.25926829,59.53660976,59.79785366,60.0565122,60.31812195,60.58468293,
Burkina Faso,BFA,50.38285366,50.78860976,51.28165854,51.85726829,52.5072439,53.21843902,53.9752439,54.75565854,55.53570732,56.29487805,57.01468293,57.68112195,58.29582927,58.86036585,59.37529268,59.84465854,
Bangladesh,BGD,65.32512195,65.90446341,66.44965854,66.96736585,67.46260976,67.94129268,68.41026829,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854,72.22160976,
Bulgaria,BGR,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.46585366,
Bahrain,BHR,74.52802439,74.71797561,74.90078049,75.07690244,75.24536585,75.40717073,75.56339024,75.71456098,75.86326829,76.01002439,76.15531707,76.29963415,76.44295122,76.58521951,76.72546341,76.86519512,
"Bahamas, The",BHS,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63936585,73.85946341,74.06146341,74.25095122,74.42841463,74.59690244,74.75792683,74.91397561,75.06653659,75.21763415,75.36878049,
Bosnia and Herzegovina,BIH,74.26221951,74.50192683,74.67558537,74.82236585,74.95597561,75.08753659,75.22295122,75.3595122,75.498,75.64141463,75.79373171,75.95346341,76.12014634,76.29034146,76.46356098,76.64029268,
Belarus,BLR,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,
Belize,BLZ,68.41887805,68.44412195,68.54436585,68.69712195,68.88482927,69.08536585,69.27597561,69.4434878,69.57970732,69.68356098,69.76202439,69.83017073,69.90865854,70.01307317,70.1475122,70.31097561,
Bermuda,BMU,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,
Bolivia,BOL,60.69004878,61.25919512,61.82882927,62.39897561,62.96863415,63.53978049,64.11495122,64.69363415,65.27282927,65.84656098,66.40580488,66.94160976,67.44695122,67.91736585,68.35031707,68.74980488,
Brazil,BRA,70.01639024,70.44256098,70.84921951,71.24043902,71.61819512,71.986,72.34934146,72.70973171,73.06865854,73.42309756,73.76956098,74.1005122,74.41043902,74.69634146,74.9582439,75.19912195,
Barbados,BRB,73.2195122,73.38392683,73.54631707,73.70717073,73.86802439,74.03034146,74.19363415,74.35741463,74.52170732,74.6854878,74.84880488,75.01014634,75.17002439,75.32795122,75.48390244,75.63790244,
Brunei Darussalam,BRN,75.29478049,75.50765854,75.72302439,75.93887805,76.14921951,76.34158537,76.50043902,76.61934146,76.6957561,76.73670732,76.75419512,76.76719512,76.79519512,76.85121951,76.94173171,77.0667561,
Bhutan,BTN,60.74843902,61.61443902,62.47387805,63.31129268,64.11470732,64.86965854,65.56521951,66.20039024,66.77765854,67.2994878,67.77429268,68.21095122,68.62490244,69.02507317,69.41797561,69.80712195,
