Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.33042908,95.90303802,97.58338928,98.46939087,99.62290192,98.78090668,100.4272003,109.0211792,107.2901306,101.6320496,100.8945236,104.4626312,102.4300385,107.1188965,106.2100067,107.2900772,,
Afghanistan,AFG,0.06938,0.067960002,0.089960001,0.085220002,0.091980003,0.150920004,0.224399999,0.282999992,,,0.256069988,0.286489993,0.276989996,,0.780849993,1.06377995,1.13725996,,1.235309958,,,,,,,,,,,,,,,0.75940001,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,43.40575027,36.40872955,29.87984085,25.24381065,20.09629059,21.4732399,20.16629982,18.85563087,18.17300034,16.2678299,13.42292976,16.94923973,,,,,,20.55635071,25.03416061,,,,,,,,142.5362854,104.9656525,98.68408966,92.09725189,79.24822998,,,,,
Albania,ALB,,25.16667938,27.99757957,,,,,,,,43.72526169,46.61418152,48.52796936,49.50653076,51.20098877,52.89012909,53.69234085,54.2381897,55.17731857,55.3431282,56.31848145,58.25912857,48.2890892,35.96918869,36.0286293,37.1129303,40.09181976,41.16186905,40.73154068,42.52460861,44.32157135,45.43346024,45.0683403,48.85268021,50.55550003,52.65391922,55.8291893,57.33209991,61.74755859,65.65630341,70.70559692,77.11076355,84.83940887,88.46157837,88.55834961,88.60224152,
Andorra,AND,,,,,,123.4701767,,,,,,,,169.6035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,9.716870308,9.646710396,9.552659988,9.500510216,9.365550041,9.692649841,10.21926975,10.59681034,10.54722977,10.87211037,11.13171005,11.63658047,11.72618008,11.88243008,12.11658955,12.47840023,12.45969009,12.53094959,12.52628994,12.74582005,12.82176018,12.92327976,12.8515501,13.03302002,13.23573017,13.40651989,13.73361969,14.19314003,14.30790043,14.14558029,14.62345982,14.61112976,14.89665985,15.35645962,15.87154961,16.61141968,18.55829048,18.52342033,20.11754036,23.09775925,23.55831909,23.61449051,24.05599022,23.46468925,25.50214958,,
United Arab Emirates,ARE,,,,21.73278046,25.59531021,21.69319916,32.78992844,31.52386093,31.19702911,26.33601952,32.764431,37.06016922,48.25234985,55.17747116,50.81230927,50.7482605,51.49414825,52.33498001,55.21221161,58.43584824,58.81977844,55.6174202,56.75682068,59.40304947,63.52722931,64.83666992,65.04936218,61.7516098,62.99253845,65.24311066,63.77507019,62.93275833,68.91100311,75.78330231,79.94670105,82.14321136,82.11943054,88.01702881,,87.59307861,86.75498199,85.37493896,82.1028595,83.90519714,91.95767212,83.67263031,
Argentina,ARG,23.51532936,25.03524971,26.63475037,29.19171906,31.5309906,35.83237076,38.00962067,39.46760941,,39.16313934,39.95095062,42.14556122,43.82435989,44.70172119,47.55686951,50.32802963,52.73920059,57.30324173,61.14788818,,,49.29769897,,,48.38631821,,53.04983139,54.26055908,55.72806168,56.39184952,59.56681061,60.35150909,60.91012955,61.11022949,62.53842926,63.72090912,63.34685898,63.99168015,65.66664886,66.98548889,67.76325226,67.84857178,69.75669098,71.66208649,72.75393677,,
Armenia,ARM,,,,,,,,,,,54.3442688,,,,,,57.57865143,58.04317856,55.9478302,53.02922821,47.23445129,46.53824997,47.04058838,40.85950851,35.95730972,31.84173965,26.88750076,29.20047951,28.98163033,26.36643982,26.47075081,24.99250031,25.70664024,27.96224976,30.54911041,30.85840034,33.18492889,32.360569,33.11928177,34.14374161,,47.71981812,52.13402939,48.63420105,49.42393112,52.39516068,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
