Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,98.6,98.6,98.5,98.5,98.4,98.4,98.3,98.3,98.3,98.2,98.2,98.1,98.1,98,98,98,97.9,97.9,97.8,97.8,97.7,97.7,97.7,97.7,97.7,97.7,
Afghanistan,AFG,,20.5,20.5,20.5,20.6,20.6,21.1,21.7,22.2,22.8,23.4,23.9,24.5,25.1,25.7,26.3,26.9,27.4,28,28.7,29.3,29.9,30.5,31.1,31.8,31.9,
Angola,AGO,22.4,22.8,23.1,23.5,24.2,25.5,26.8,28.1,29.4,30.8,32.1,33.5,34.8,36.2,37.6,39,40.4,41.8,43.3,44.7,46.2,47.6,49.1,50.6,51.1,51.6,
Albania,ALB,78.1,78.2,78.3,78.4,78.6,79.4,80.2,81,81.8,82.6,83.4,84.2,85,85.8,86.6,87.4,88.1,88.9,89.6,90.2,90.9,91.5,92.1,92.7,93.2,93.2,
Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,ARB,66.89115697,68.07209002,68.34853596,67.41815182,68.01118855,68.79404652,69.3940782,70.08577594,70.86292287,71.49863168,72.1340868,72.80412934,73.41541704,74.04760714,74.71633801,75.41007208,76.08039225,76.73568191,77.40745062,77.96998147,78.309338,78.65554173,80.85192893,83.11469029,83.14532478,90.3704944,
United Arab Emirates,ARE,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.6,
Argentina,ARG,87.4,87.9,88.3,88.7,89.1,89.5,89.9,90.2,90.6,91,91.4,91.7,92.1,92.5,92.8,93.2,93.5,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.1,96.4,
Armenia,ARM,,,89.6,89.5,89.5,89.4,89.4,89.4,89.4,89.4,89.3,89.3,89.3,89.4,89.4,89.4,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,
American Samoa,ASM,61,61,61,61,61.1,61.1,61.2,61.3,61.4,61.5,61.5,61.6,61.7,61.8,61.8,61.9,62,62.1,62.1,62.2,62.3,62.4,62.5,62.5,62.5,62.5,
Antigua and Barbuda,ATG,74.7,75.7,76.7,77.7,78.7,79.6,80.6,81.6,82.6,83.6,84.6,85.5,86.5,87.5,88.5,89.5,90.4,91.4,91.4,91.4,91.4,91.4,,,,,
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Azerbaijan,AZE,,,,,62.7,62.7,62.6,62.5,62.4,64,65.6,67.2,68.8,70.5,72.1,73.7,75.3,76.8,78.4,80,81.6,83.2,84.7,86.3,87.9,89.3,
Burundi,BDI,41.7,42,42.2,42.5,42.7,43,43.3,43.5,43.8,44,44.3,44.6,44.8,45.1,45.3,45.6,45.9,46.1,46.4,46.7,46.9,47.2,47.5,47.8,48,48,
Belgium,BEL,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,
Benin,BEN,6.8,7.3,7.9,8.4,8.9,9.4,9.9,10.4,10.9,11.4,11.9,12.4,12.9,13.4,14,14.5,15.1,15.6,16.2,16.7,17.3,17.8,18.4,19,19.6,19.7,
Burkina Faso,BFA,7.7,7.8,8.2,8.5,8.9,9.2,9.6,10,10.5,11,11.6,12.1,12.7,13.2,13.8,14.4,15,15.6,16.2,16.8,17.4,18,18.6,19,19.4,19.7,
Bangladesh,BGD,34.4,35.6,36.7,37.8,38.9,40,41.1,42.2,43.3,44.3,45.4,46.5,47.6,48.6,49.7,50.7,51.8,52.8,53.8,54.8,55.8,56.8,57.7,58.7,59.6,60.6,
Bulgaria,BGR,85.3,85.3,85.4,85.4,85.4,85.5,85.5,85.5,85.6,85.6,85.6,85.7,85.8,85.8,85.8,85.9,85.9,85.9,85.9,85.9,85.9,85.9,86,86,86,86,
Bahrain,BHR,99,99,99,99,99,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,
"Bahamas, The",BHS,,,,,88,88,88,88,88,88.3,88.6,88.9,89.2,89.4,89.7,90,90.3,90.6,90.9,91.2,91.4,91.7,92,92,92,92,
Bosnia and Herzegovina,BIH,,,,,95,95,95,95,95,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,
Belarus,BLR,95.1,95.1,95.1,95,95,95,95,95,94.9,94.9,94.8,94.8,94.8,94.7,94.7,94.6,94.6,94.6,94.5,94.5,94.5,94.4,94.4,94.4,94.3,94.3,
Belize,BLZ,75.9,76.6,77.3,77.9,78.6,79.3,80,80.6,81.3,82,82.7,83.3,84,84.6,85.3,86,86.6,87.3,87.9,88.6,89.2,89.9,90.2,90.6,90.5,90.5,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,28.4,29.4,30.4,31.4,32.3,33.2,34.1,35,35.9,36.8,37.7,38.6,39.5,40.4,41.3,42.2,43.1,44,44.9,45.8,46.7,47.5,48.4,49.3,50.2,50.3,
Brazil,BRA,66.6,67.5,68.3,69.1,70,70.8,71.5,72.4,73.1,73.9,74.7,75.3,75.9,76.5,77.1,77.7,78.2,78.8,79.4,79.9,80.5,81.1,81.6,82.1,82.7,82.8,
Barbados,BRB,80,80.7,81.3,82,82.7,83.4,84,84.7,85.4,86.1,86.8,87.4,88.1,88.8,89.5,90.1,90.8,91.5,92.2,92.8,93.5,94.2,94.9,95.5,96.2,96.2,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,18.9,19.2,19.4,20.8,22.2,23.6,25,26.4,27.9,29.4,31,32.5,34.1,35.7,37.4,39,40.5,42.1,43.6,45.2,46.8,48.3,49.4,49.7,50.1,50.4,
Botswana,BWA,39.3,41.4,42.7,43.8,44.9,46.1,47.2,48.3,49.4,50.5,51.6,52.7,53.7,54.5,55.4,56.3,57.2,58,58.9,59.8,60.6,61.5,62.4,63.3,63.3,63.4,
Central African Republic,CAF,14.6,14.6,14.6,15,15.3,15.6,15.9,16.2,16.5,16.9,17.2,17.5,17.8,18.2,18.5,18.9,19.2,19.6,19.9,20.3,20.7,21.1,21.5,21.6,21.7,21.8,
Canada,CAN,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,
Central Europe and the Baltics,CEB,,,,,,,87.38359135,87.34774015,87.42808655,87.51151347,87.57675168,87.97736123,88.3690479,88.74352155,89.1092221,89.49328553,89.84211041,90.27962652,90.68595625,91.07132384,91.4812205,91.84515755,92.21929988,92.60132148,92.96811623,93.01710798,
Switzerland,CHE,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,84.8,85.5,86.2,86.9,87.6,88.3,89,89.7,90.3,91,91.7,92.3,92.9,93.6,94.2,94.8,95.4,96,96.6,97.1,97.7,98.3,98.8,99,99,99.1,
China,CHN,47.5,48.6,49.8,50.9,52,53.2,54.3,55.4,56.6,57.7,58.8,60,61.2,62.4,63.7,64.9,66.1,67.2,68.4,69.6,70.8,71.9,73.1,74.2,75.4,76.5,
Cote d'Ivoire,CIV,14.9,15.2,15.4,15.7,15.9,16.2,16.4,16.7,17,17.3,17.6,17.9,18.2,18.6,18.9,19.2,19.5,19.9,20.2,20.6,20.9,21.3,21.6,22,22.3,22.5,
Cameroon,CMR,39.9,40.1,40.3,40.6,40.8,41,41.3,41.5,41.7,42,42.2,42.4,42.7,42.9,43.2,43.4,43.7,43.9,44.2,44.4,44.7,44.9,45.2,45.4,45.6,45.8,
"Congo, Dem. Rep.",COD,19.2,19.2,19.3,19.4,19.9,20.3,20.8,21.3,21.8,22.2,22.7,23.1,23.5,24,24.4,24.8,25.2,25.6,26,26.4,26.8,27.2,27.6,27.9,28.3,28.7,
"Congo, Rep.",COG,,,,,,,,12.5,12.6,12.6,12.7,12.8,12.9,13.1,13.2,13.4,13.6,13.7,13.9,14.1,14.3,14.4,14.6,14.8,14.9,15,
Colombia,COL,69,69.6,70.2,70.9,71.5,72,72.5,73.1,73.6,74.1,74.6,75.1,75.6,76.1,76.6,77.1,77.5,78,78.4,78.9,79.3,79.8,80.2,80.6,81.1,81.1,
Comoros,COM,18.2,18.9,19.5,20,20.5,21.3,22.1,22.8,23.6,24.3,25.1,25.8,26.6,27.4,28.1,28.9,29.6,30.4,31.2,31.9,32.7,33.5,34.2,35,35.8,35.8,
Cabo Verde,CPV,,,33.5,33.9,34.2,34.6,35,37.1,39.3,41.5,43.6,45.7,47.8,49.9,52,54,56.1,58.1,60.2,62.2,64.2,66.2,68.1,70.1,72,72.2,
Costa Rica,CRI,88.4,88.7,89.1,89.4,89.7,90,90.3,90.6,90.9,91.2,91.4,91.7,92,92.3,92.6,92.8,93,93.3,93.5,93.7,93.9,94.1,94.3,94.5,94.5,94.5,
Caribbean small states,CSS,81.32891665,81.50480591,81.72999923,81.95438237,82.34528049,82.55794062,82.70879115,82.90010328,83.08298639,83.27943121,83.47415696,83.67398863,83.86449931,84.06911123,84.22678054,84.41710643,84.59266928,84.78897957,85.14233887,85.32755759,85.49521576,85.64077621,85.67179905,85.76911357,85.81067044,85.82602619,
Cuba,CUB,81.5,82,82.6,83.1,83.6,84.1,84.6,85.2,85.7,86.2,86.7,87.2,87.7,88.3,88.7,89.2,89.7,90.2,90.7,91.2,91.7,92.2,92.7,93.1,93.2,93.2,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,95.6,95.5,95.5,95.6,95.5,95.6,95.6,95.5,95.6,95.5,95.5,95.6,95.5,95.5,95.6,95.5,95.6,95.6,95.5,95.6,95.6,95.6,95.6,95.6,95.5,95.6,
Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Czech Republic,CZE,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,
Germany,DEU,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,
Djibouti,DJI,66.1,66.2,66.2,66.2,66.2,65.1,64,62.9,61.7,60.6,59.5,58.4,57.3,56.1,55,53.9,52.8,51.7,50.6,49.5,48.4,47.3,47.3,47.3,47.4,47.4,
Dominica,DMA,,,,,,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,,,,,,,,,
Denmark,DNK,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,
Dominican Republic,DOM,73,73.4,73.8,74.2,74.7,75.2,75.6,76.1,76.6,77,77.5,77.9,78.4,78.9,79.4,79.9,80.4,80.8,81.3,81.7,82.1,82.5,82.9,83.3,83.6,84,
Algeria,DZA,80.3,80.5,80.7,80.9,81.3,81.7,82.1,82.5,82.9,83.3,83.6,84,84.3,84.7,85,85.3,85.6,85.8,86.1,86.4,86.6,86.8,87,87.2,87.4,87.6,
