"Country.Name","Country.Code","life","gdp","sani","pre","pri","sec","ter","smo.tob","smo.cig","ob","al","co2","hiv"
"Afghanistan","AFG",63.29819512,19469022208,31.9,7.11557650433333,111.744133,55.65615845,8.662799835,18.4,15.264,23,1,0.299444991,0.1
"Albania","ALB",78.20314634,11926892453,93.2,88.55834961,113.1121216,34.72551918,62.70684814,23.8,21.3,57.7,6.6,1.978763312,0.1
"Algeria","DZA",75.85529268,1.56e+11,87.6,11.9894239323333,112.4866409,96.42608643,34.59381104,18.4,15.264,62,0.6,3.717409901,0.1
"Angola","AGO",61.18934146,89633156470,51.6,86.6495844533333,109.9888916,106.7779007,6.539946874,18.4,15.264,27.5,7.6,1.291328315,1.9
"Argentina","ARG",76.29302439,5.46e+11,96.4,72.75393677,97.10739899,102.318222,82.91738892,18.1,17.3,62.7,7.6,4.746797455,0.4
"Armenia","ARM",74.20619512,10547331235,89.5,49.42393112,106.0756989,137.5647888,44.25460815,24.7,22.7,54.4,5.5,1.90275891,0.2
"Australia","AUS",82.45121951,1.2e+12,100,114.0770416,102.2489777,99.29640198,90.3065033,13.7,11,64.5,12.6,15.39859985,0.1
"Bahrain","BHR",76.86519512,31858510638,99.2,57.02587128,104.8543167,164.8117371,41.30863953,27.1,21.2,65.8,2.4,23.44975483,0.1
"Bangladesh","BGD",72.22160976,2.21e+11,60.6,23.7577501933333,125.561203,54.36360168,13.44079971,19.6,12.5,20,0.2,0.459141965,0.1
"Barbados","BRB",75.63790244,4587550000,96.2,84.20606995,86.89006805,30.33526993,61.45824814,5,3.8,52.4,6.5,4.490177673,1.3
"Belarus","BLR",73.62439024,47433442293,94.3,105.0427628,113.27081451,56.2910397833333,88.85703278,22.6,21.1,59.4,17.1,6.701957705,0.4
"Belize","BLZ",70.31097561,1765256400,90.5,50.24113083,99.68023682,98.8924408,23.4664096833333,18.4,15.264,54.8,8.3,1.407601494,1.8
"Benin","BEN",60.58468293,8583031398,19.7,20.60494041,98.96627808,107.0317993,14.723460195,7.4,4.6,29.5,2.2,0.614213852,1
"Botswana","BWA",65.75109756,15274861068,63.4,20.33077264,111.0638733,101.9508972,25.03587914,18.4,15.264,43.4,7.7,3.243287637,21.9
"Brazil","BRA",75.19912195,1.8e+12,82.8,89.12452698,93.62728119,109.2475662,49.27983856,12.7,11.5,56.5,9.1,2.594388285,0.6
