"Country.Name","Country.Code","X2014"
"Aruba","ABW",107.2900772
"Afghanistan","AFG",7.11557650433333
"Angola","AGO",86.6495844533333
"Albania","ALB",88.55834961
"Arab World","ARB",25.50214958
"United Arab Emirates","ARE",91.95767212
"Argentina","ARG",72.75393677
"Armenia","ARM",49.42393112
"Antigua and Barbuda","ATG",75.21543884
"Australia","AUS",114.0770416
"Austria","AUT",101.7219086
"Azerbaijan","AZE",23.10553932
"Burundi","BDI",10.27686977
"Belgium","BEL",117.8949966
"Benin","BEN",20.60494041
"Burkina Faso","BFA",4.171629906
"Bangladesh","BGD",23.7577501933333
"Bulgaria","BGR",83.01318359
"Bahrain","BHR",57.02587128
"Bahamas, The","BHS",43.5647869133333
"Belarus","BLR",105.0427628
"Belize","BLZ",50.24113083
"Bermuda","BMU",54.25823975
"Bolivia","BOL",67.57906342
"Brazil","BRA",89.12452698
"Barbados","BRB",84.20606995
"Brunei Darussalam","BRN",73.53894806
"Bhutan","BTN",17.04734993
"Botswana","BWA",20.33077264
"Central African Republic","CAF",11.8900689264444
"Canada","CAN",91.615364072
"Central Europe and the Baltics","CEB",83.8718338
"Switzerland","CHE",105.1050797
"Chile","CHL",85.60710907
"China","CHN",81.61090851
"Cote d'Ivoire","CIV",6.553790092
"Cameroon","CMR",34.43854904
"Congo, Dem. Rep.","COD",4.173769951
"Congo, Rep.","COG",15.4930396075
"Colombia","COL",65.9398803725
"Comoros","COM",20.50259972
"Cabo Verde","CPV",70.30510712
"Costa Rica","CRI",52.96744919
"Caribbean small states","CSS",91.12399292
"Cuba","CUB",98.06671143
"Cyprus","CYP",77.10958099
"Czech Republic","CZE",104.8187485
"Germany","DEU",110.8751984
"Djibouti","DJI",6.26106570528889
"Dominica","DMA",84.87654114
"Denmark","DNK",96.447052
"Dominican Republic","DOM",43.60029984
"Algeria","DZA",11.9894239323333
"East Asia & Pacific (excluding high income)","EAP",74.92746735
"Early-demographic dividend","EAR",30.3983593
"East Asia & Pacific","EAS",76.10092926
"Europe & Central Asia (excluding high income)","ECA",56.1332016
"Europe & Central Asia","ECS",74.57476044
"Ecuador","ECU",62.54825974
"Egypt, Arab Rep.","EGY",30.32247925
"Euro area","EMU",102.6954117
"Eritrea","ERI",14.4669199
"Spain","ESP",98.04814148
"Estonia","EST",99.595907594
"Ethiopia","ETH",25.23822021
"European Union","EUU",96.5539093
"Fragile and conflict affected situations","FCS",13.28619003
"Finland","FIN",79.78717041
"Fiji","FJI",20.438690616
"France","FRA",108.8067322
"Micronesia, Fed. Sts.","FSM",30.2651696526667
"Gabon","GAB",34.714637864
"United Kingdom","GBR",88.22270966
"Georgia","GEO",82.595976258
"Ghana","GHA",115.1036072
"Guinea","GIN",15.131369709375
"Gambia, The","GMB",38.31578827
"Guinea-Bissau","GNB",14.1970551005
"Equatorial Guinea","GNQ",66.778045655
"Greece","GRC",49.10599136
"Grenada","GRD",91.1764679
"Guatemala","GTM",43.71112823
"Guyana","GUY",82.476610185
"High income","HIC",82.71484375
"Hong Kong SAR, China","HKG",101.22783052
"Honduras","HND",47.10662079
"Heavily indebted poor countries (HIPC)","HPC",17.99657059
"Croatia","HRV",61.43603134
"Hungary","HUN",83.97846222
"IBRD only","IBD",46.38595963
"IDA & IBRD total","IBT",39.55484009
"IDA total","IDA",28.34802055
"IDA blend","IDB",41.28469086
"Indonesia","IDN",58.15596008
"IDA only","IDX",22.4871006
"India","IND",11.7343502
"Ireland","IRL",106.6761398
"Iran, Islamic Rep.","IRN",42.39659882
"Iraq","IRQ",15.854908762625
"Iceland","ISL",100.368145756
"Israel","ISR",110.6801529
"Italy","ITA",99.01548004
"Jamaica","JAM",93.00338745
"Jordan","JOR",32.79943848
"Japan","JPN",89.25267792
"Kazakhstan","KAZ",57.21908951
"Kenya","KEN",73.79904175
"Kyrgyz Republic","KGZ",25.32621002
"Cambodia","KHM",17.60209084
"Kiribati","KIR",71.9215571066667
"St. Kitts and Nevis","KNA",94.16362762
"Korea, Rep.","KOR",92.82328033
"Kuwait","KWT",89.354175187
"Latin America & Caribbean (excluding high income)","LAC",71.98815918
"Lao PDR","LAO",32.3574791
"Lebanon","LBN",94.8794632
"Liberia","LBR",157.901062
"Libya","LBY",20.2583462797917
