"Country.Name","Country.Code","X2016"
"Aruba","ABW",493900075104.6
"Afghanistan","AFG",19469022208
"Angola","AGO",89633156470
"Albania","ALB",11926892453
"Andorra","AND",338993240695.75
"Arab World","ARB",2.5e+12
"United Arab Emirates","ARE",3.49e+11
"Argentina","ARG",5.46e+11
"Armenia","ARM",10547331235
"American Samoa","ASM",626201481518
"Antigua and Barbuda","ATG",1449160185
"Australia","AUS",1.2e+12
"Austria","AUT",3.86e+11
"Azerbaijan","AZE",37847715736
"Burundi","BDI",3007029030
"Belgium","BEL",4.66e+11
"Benin","BEN",8583031398
"Burkina Faso","BFA",12115155932
"Bangladesh","BGD",2.21e+11
"Bulgaria","BGR",52395164027
"Bahrain","BHR",31858510638
"Bahamas, The","BHS",9.047e+09
"Bosnia and Herzegovina","BIH",16559695719
"Belarus","BLR",47433442293
"Belize","BLZ",1765256400
"Bermuda","BMU",2.673e+12
"Bolivia","BOL",33806395514
"Brazil","BRA",1.8e+12
"Barbados","BRB",4587550000
"Brunei Darussalam","BRN",11400266877
"Bhutan","BTN",2236933238
"Botswana","BWA",15274861068
"Central African Republic","CAF",1756124677
"Canada","CAN",1.53e+12
"Central Europe and the Baltics","CEB",1.3e+12
"Switzerland","CHE",6.6e+11
"Channel Islands","CHI",464461827467.75
"Chile","CHL",2.47e+11
"China","CHN",1.12e+13
"Cote d'Ivoire","CIV",36164644633
"Cameroon","CMR",24204448567
"Congo, Dem. Rep.","COD",34998638634
"Congo, Rep.","COG",7833509443
"Colombia","COL",2.82e+11
"Comoros","COM",616654490.5
"Cabo Verde","CPV",1617467436
"Costa Rica","CRI",57435507212
"Caribbean small states","CSS",63540193020
"Cuba","CUB",109529747692.5
"Cayman Islands","CYM",40404317205.125
"Cyprus","CYP",19801664168
"Czech Republic","CZE",1.93e+11
"Germany","DEU",3.47e+12
"Djibouti","DJI",1115240425000
"Dominica","DMA",525424630
"Denmark","DNK",3.06e+11
"Dominican Republic","DOM",71583553488
"Algeria","DZA",1.56e+11
"East Asia & Pacific (excluding high income)","EAP",1.35e+13
"Early-demographic dividend","EAR",1.03e+13
"East Asia & Pacific","EAS",2.25e+13
"Europe & Central Asia (excluding high income)","ECA",2.98e+12
"Europe & Central Asia","ECS",2.02e+13
