"Country.Name","Country.Code","X2015"
"Aruba","ABW",67.968105316
"Afghanistan","AFG",81.8307924275
"Angola","AGO",36.353937626
"Albania","ALB",88.60224152
"Arab World","ARB",90.643432615
"United Arab Emirates","ARE",83.67263031
"Argentina","ARG",36.3745361953333
"Armenia","ARM",52.39516068
"Antigua and Barbuda","ATG",95.64315033
"Australia","AUS",124.9199829
"Austria","AUT",103.3649902
"Azerbaijan","AZE",23.87578964
"Burundi","BDI",12.63022995
"Belgium","BEL",116.4030075
"Benin","BEN",23.90070915
"Burkina Faso","BFA",4.142320156
"Bangladesh","BGD",31.22426987
"Bulgaria","BGR",82.91227722
"Bahrain","BHR",55.85834122
"Bahamas, The","BHS",87.6026026433333
"Belarus","BLR",103.2291107
"Belize","BLZ",49.67567062
"Bermuda","BMU",61.53845978
"Bolivia","BOL",70.73162079
"Brazil","BRA",92.17723846
"Barbados","BRB",44.7156146765
"Brunei Darussalam","BRN",71.99848175
"Bhutan","BTN",59.09236502675
"Botswana","BWA",47.917860191
"Central African Republic","CAF",103.6363602
"Canada","CAN",56.2390804836667
"Central Europe and the Baltics","CEB",56.5301225986667
"Switzerland","CHE",104.645401
"Chile","CHL",87.00312042
"China","CHN",83.61673737
"Cote d'Ivoire","CIV",7.158979893
"Cameroon","CMR",37.83330154
"Congo, Dem. Rep.","COD",45.871445178
"Congo, Rep.","COG",100.581019106667
"Colombia","COL",84.49167633
"Comoros","COM",58.07093668
"Cabo Verde","CPV",73.65196228
"Costa Rica","CRI",52.37208939
"Caribbean small states","CSS",65.7779636375
"Cuba","CUB",102.0287628
"Cyprus","CYP",80.2753067
"Czech Republic","CZE",105.9042435
"Germany","DEU",111.1529999
"Djibouti","DJI",4.739769936
"Dominica","DMA",87.42299652
"Denmark","DNK",95.92328644
"Dominican Republic","DOM",44.00492859
"Algeria","DZA",55.871124582
"East Asia & Pacific (excluding high income)","EAP",59.9336721243333
"Early-demographic dividend","EAR",64.8385883966667
"East Asia & Pacific","EAS",73.8305557643333
"Europe & Central Asia (excluding high income)","ECA",66.0394813965
"Europe & Central Asia","ECS",40.354934057
"Ecuador","ECU",71.04486084
"Egypt, Arab Rep.","EGY",72.8678396550833
"Euro area","EMU",60.041749954
"Eritrea","ERI",13.22889996
"Spain","ESP",96.65988922
"Estonia","EST",46.9364168665
"Ethiopia","ETH",30.3617897
"European Union","EUU",79.2991368045833
"Fragile and conflict affected situations","FCS",71.2797980152708
"Finland","FIN",79.29335785
"Fiji","FJI",91.7147641493333
"France","FRA",48.4759795502667
"Micronesia, Fed. Sts.","FSM",33.04626846
"Gabon","GAB",58.2636173188333
"United Kingdom","GBR",74.3458928657667
"Georgia","GEO",65.8536570995533
"Ghana","GHA",120.7888794
"Guinea","GIN",91.54416122
"Gambia, The","GMB",37.95362091
"Guinea-Bissau","GNB",40.4440272653333
"Equatorial Guinea","GNQ",57.75041962
"Greece","GRC",87.367568790375
"Grenada","GRD",85.88027191
"Guatemala","GTM",44.65916824
"Guyana","GUY",52.4695666600677
"High income","HIC",82.47641754
"Hong Kong SAR, China","HKG",66.9918713313
"Honduras","HND",45.95742035
"Heavily indebted poor countries (HIPC)","HPC",56.0791592002135
"Croatia","HRV",62.72557068
"Hungary","HUN",79.3626709
"IBRD only","IBD",59.2759165080667
"IDA & IBRD total","IBT",51.0531928460533
"IDA total","IDA",60.9620226519208
"IDA blend","IDB",57.480238141125
"Indonesia","IDN",52.157304586125
"IDA only","IDX",67.8353413022135
"India","IND",12.20660019
"Ireland","IRL",96.7951889
"Iran, Islamic Rep.","IRN",50.78187943
"Iraq","IRQ",86.3409251620417
"Iceland","ISL",57.9694636490773
"Israel","ISR",111.1035767
"Italy","ITA",98.66101837
"Jamaica","JAM",99.46716309
"Jordan","JOR",32.19713974
"Japan","JPN",69.4620715298133
"Kazakhstan","KAZ",60.37080002
"Kenya","KEN",76.22380066
"Kyrgyz Republic","KGZ",27.58789063
"Cambodia","KHM",17.94376945
"Kiribati","KIR",55.5627221280844
"St. Kitts and Nevis","KNA",86.29707336
"Korea, Rep.","KOR",93.58220673
"Kuwait","KWT",78.894568903425
"Latin America & Caribbean (excluding high income)","LAC",63.2568073951333
"Lao PDR","LAO",35.34938049
"Lebanon","LBN",77.59599304
"Liberia","LBR",156.0634155
"Libya","LBY",47.5965050215
"St. Lucia","LCA",57.46524811
"Latin America & Caribbean","LCN",50.7929861179333
"Least developed countries: UN classification","LDC",57.9320785533469
"Low income","LIC",20.82671928
"Liechtenstein","LIE",103.6363602
"Sri Lanka","LKA",93.03975677
"Lower middle income","LMC",32.27677155
"Lesotho","LSO",33.95215988
"Late-demographic dividend","LTE",86.90861184626
"Lithuania","LTU",91.31036377
"Luxembourg","LUX",79.9955375980885
"Latvia","LVA",88.19287109
"Macao SAR, China","MAC",92.13625336
"Morocco","MAR",56.86927032
"Moldova","MDA",83.89848328
"Madagascar","MDG",18.06114006
"Maldives","MDV",72.0937796589
"Middle East & North Africa","MEA",75.2145779259208
"Mexico","MEX",55.6187373863842
"Marshall Islands","MHL",40.3685112
"Middle income","MIC",49.33216858
"Macedonia, FYR","MKD",36.35166931
"Mali","MLI",4.055970192
"Malta","MLT",111.1687393
"Myanmar","MMR",74.0946125133333
"Middle East & North Africa (excluding high income)","MNA",63.6043983148667
"Montenegro","MNE",55.35472107
"Mongolia","MNG",66.863223358185
"Mauritania","MRT",10.60464954
"Mauritius","MUS",103.8610229
"Malawi","MWI",81.61180878
"Malaysia","MYS",93.94883728
"North America","NAC",50.7193949376
"Namibia","NAM",61.1754192708667
"Niger","NER",7.365499973
"Nigeria","NGA",80.9709250511155
"Nicaragua","NIC",57.6640031676169
"Netherlands","NLD",95.63011169
"Norway","NOR",97.49228668
"Nepal","NPL",85.41809082
"Nauru","NRU",68.0769309341167
"New Zealand","NZL",93.18428802
"OECD members","OED",58.762702178
"Oman","OMN",55.55432892
"Other small states","OSS",64.120274460196
"Pakistan","PAK",72.31954193
"Panama","PAN",64.19758662086
"Peru","PER",88.70420074
"Philippines","PHL",92.3646556784083
"Palau","PLW",61.627383428
"Papua New Guinea","PNG",69.0773903629742
"Poland","POL",71.4615709820333
"Pre-demographic dividend","PRE",62.3280887962135
"Puerto Rico","PRI",89.3275450576133
"Korea, Dem. People¡¯s Rep.","PRK",50.82740021
"Portugal","PRT",93.70187378
"Paraguay","PRY",59.4203106030267
"West Bank and Gaza","PSE",52.22792053
"Pacific island small states","PSS",74.6632096556677
"Post-demographic dividend","PST",66.8157234810667
"Qatar","QAT",58.78335953
"Romania","ROU",90.98455048
"Russian Federation","RUS",86.96820068
"Rwanda","RWA",17.98283958
"South Asia","SAS",62.3085933422
"Saudi Arabia","SAU",17.35004997
"Sudan","SDN",63.7846309679333
"Senegal","SEN",14.90421009
"Solomon Islands","SLB",99.80864716
"Sierra Leone","SLE",10.16469955
"El Salvador","SLV",72.17149353
"San Marino","SMR",56.111184995
"Serbia","SRB",58.17150879
"Sub-Saharan Africa (excluding high income)","SSA",60.8461589077417
"South Sudan","SSD",9.956620216
"Sub-Saharan Africa","SSF",59.5168766117844
"Small states","SST",55.6182579748627
"Sao Tome and Principe","STP",51.2073288
"Suriname","SUR",93.37789154
"Slovak Republic","SVK",93.63923645
"Slovenia","SVN",86.8751656190667
"Sweden","SWE",93.93657684
"Swaziland","SWZ",73.5213041231533
"Seychelles","SYC",90.48484802
"Syrian Arab Republic","SYR",71.90551691266
"Chad","TCD",61.5932320826
"East Asia & Pacific (IDA & IBRD countries)","TEA",70.1730936750427
"Europe & Central Asia (IDA & IBRD countries)","TEC",68.4670913919
"Togo","TGO",17.53702927
"Thailand","THA",69.1118927
